,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,165692.95,207939.12,2773.271,486.819,64.712,16.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.419,0.0,0.0,0.0,117556.12,187858.62,23.288,0.322,0.302,24.157,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0
03.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,202641.5,234108.34,12943.448,2176.982,0.586,6.494,7036.896,2197.09,1160.523,9.286,530.406,0.0,4206.098,4460.258,59.199,105.723,1113.49,181668.98,224454.08,7862.843,233.693,3.006,30.961,5730.976,1782.967,760.687,0.0,351.207,0.0,2.303,1.882
05.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,174419.36,203354.39,5742.621,2245.18,33.561,18.194,1251.795,381.084,3186.22,545.235,112.926,9.699,28.165,1787.489,344.002,148.657,7.478,175909.28,210779.05,6461.176,1517.32,21.248,402.344,425.309,422.553,735.122,0.0,2375.161,335.289,7.328,2.779
12.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,183839.42,220082.64,10220.183,851.754,14184.739,43620.96,7077.904,3098.956,3341.462,553.606,634.9,1133.635,18726.97,2618.746,720.7,160.032,2220.108,183440.89,221634.78,10248.271,1077.55,14118.082,44673.98,7218.556,3130.293,4166.093,573.771,3907.652,1295.611,178.449,2533.974
13.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,164851.66,205260.53,4555.285,388.66,12835.873,40467.805,3975.16,2850.039,2212.649,1.661,191.575,1460.736,13666.425,673.752,0.0,63.918,11.492,168820.95,201149.22,5014.806,565.08,11282.137,38926.83,7125.592,2900.309,4450.642,446.085,2369.564,487.136,186.544,888.318
17.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,248382.08,267495.7,22005.443,1314.814,8.345,51.612,4964.29,4035.602,5206.872,1048.543,40.061,4.381,1308.894,5060.109,1438.997,352.519,1776.698,240402.88,273846.3,16557.232,1158.416,1.751,13.46,1537.302,2896.036,3546.554,384.989,3222.738,461.387,16.836,120.048
18.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,200866.16,228027.89,17170.877,996.628,15750.449,48503.953,7215.278,3482.555,5291.546,613.818,1103.918,2041.744,20642.203,4305.349,1237.64,483.993,3069.614,193898.72,222947.39,15384.299,1014.926,12274.155,44893.098,6335.558,2586.412,4223.856,450.439,4288.547,1421.218,380.85,3069.902
19.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,233634.23,272785.88,12259.676,1072.602,15877.771,49047.96,9197.251,3306.391,3012.279,396.438,1104.902,633.633,20535.852,4734.787,1987.992,461.687,3566.426,235634.81,273888.94,11756.137,1045.014,14999.268,48241.77,9000.611,3071.81,4228.285,581.416,4223.058,1712.838,287.304,3623.936
21.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,225301.44,272599.5,6399.905,1389.278,9.369,684.265,8074.951,2590.921,3573.268,426.77,83.295,0.0,373.812,3895.234,1057.65,381.189,479.382,224568.16,271877.84,11098.46,1110.094,1.775,200.272,8120.898,3172.98,2656.722,316.957,2883.363,601.525,331.692,96.298
34.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,201474.86,234131.7,13470.047,1688.702,963.442,5858.824,6237.842,1943.079,1556.295,0.0,389.169,20.713,10526.479,3332.329,169.391,7.048,1730.96,201459.27,236087.92,16095.544,1721.003,204.006,71.056,3958.37,2549.232,2354.196,89.199,3908.841,946.776,137.124,1298.94
39.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_cycle_2.nii,222417.39,259829.11,14978.325,830.051,16953.318,47952.746,8484.879,4053.169,4518.282,1091.337,987.746,2158.255,21592.023,3729.537,1024.252,339.627,3332.158,223575.98,262222.25,13698.238,990.883,12802.285,38808.094,8409.873,4033.422,3610.11,32.325,3603.266,893.295,216.513,2655.117
