,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,161856.73,180795.33,12914.92,111.199,74.753,9.544,4155.548,2075.447,2739.362,66.488,182.251,7.989,4082.535,436.199,190.35,24.797,676.041,156284.16,179907.86,6592.98,114.385,0.835,60.978,2489.976,89.877,3.53,0.0,244.006,0.0,0.0,1310.675
03.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,198928.38,205968.92,15497.085,954.393,45.278,46.451,7061.226,3208.588,2568.271,541.181,82.4,0.385,1661.356,2253.716,390.708,25.492,602.406,201147.14,206114.25,13174.341,88.632,5.267,61.523,4659.492,3216.542,813.139,1.283,202.117,0.0,5.739,359.548
05.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,201673.62,222985.55,21053.479,1210.349,16.444,1069.395,5970.727,3243.864,3307.462,593.578,975.681,3.967,2257.067,2840.192,359.154,125.608,1578.85,194643.33,213369.25,18583.914,1275.295,0.289,22.625,5157.392,2513.073,2726.276,502.884,2200.63,0.413,0.0,1517.462
12.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,212130.1,239267.7,6620.538,839.701,9321.619,34375.71,5888.486,3961.679,4996.526,853.49,262.586,228.49,11882.253,4239.278,851.96,494.392,1181.48,216241.77,238910.92,6933.202,643.607,12589.488,31686.383,7294.39,3514.843,4878.052,1018.875,4668.412,1360.124,428.139,2030.07
13.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,209962.42,215665.14,5004.844,767.14,5421.354,15613.81,7451.174,3262.848,5717.6,1337.583,598.478,917.354,10517.843,4365.254,848.7,254.148,2269.779,203843.86,206628.25,5020.748,460.495,13043.866,35049.79,6123.057,3621.298,4703.82,1087.95,3735.86,1189.626,468.886,2107.128
17.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,271553.94,266333.22,19893.59,910.938,1.492,55.39,9093.985,3417.404,4838.348,716.91,298.659,3.313,5271.466,5421.246,382.12,223.509,2409.069,252752.3,265571.8,14982.286,899.895,7.495,31.324,7041.876,2182.538,1113.111,46.519,3723.073,0.0,0.0,1294.831
18.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,209953.23,241856.92,15512.952,805.251,7525.184,30287.49,8437.618,4632.549,4782.612,979.077,640.997,704.926,12580.959,5005.77,1309.208,390.792,1807.411,211304.86,231949.14,11673.407,868.208,7075.718,28246.156,5702.414,5046.212,3890.16,369.237,4676.898,680.373,233.054,711.963
19.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,274458.75,279119.72,9307.633,785.349,16698.793,49201.754,7607.246,4750.235,5333.345,1142.182,714.672,633.224,11995.821,5434.886,1524.958,618.861,2538.135,264641.72,276657.84,9419.498,825.936,17216.932,50262.04,7533.291,4277.061,3044.404,663.502,5889.422,2181.004,603.965,2900.021
21.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,260520.48,301191.4,5148.458,1061.494,71.265,3195.678,6587.362,3199.528,5764.927,867.364,320.89,0.0,1296.664,5276.332,1570.212,547.73,571.385,259038.11,293344.88,8943.827,749.691,20.551,605.755,7061.024,4572.998,4389.911,679.28,5006.236,949.39,400.007,331.901
34.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,208113.11,227244.75,16596.697,939.611,29.217,233.134,8555.294,3799.566,3873.603,707.17,315.521,6.458,7629.774,3823.828,478.491,203.119,1798.295,212032.7,238982.69,14695.549,1008.088,2.651,98.685,8223.628,3227.056,3724.574,616.947,4353.992,953.111,217.838,1492.026
39.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_fcut_2.nii,257421.42,274536.6,11710.573,782.32,17081.03,45900.656,10208.011,4445.906,6497.944,722.208,1015.416,1306.106,18216.965,5492.186,1609.772,433.266,3584.68,258385.92,280022.38,10086.393,781.01,15580.797,43064.793,9505.986,4428.215,4823.094,526.947,4887.597,1252.618,326.456,2754.491
