,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,162608.28,191944.42,17412.893,1584.941,6811.842,24167.33,4372.586,2032.513,2753.557,377.229,862.155,93.957,8235.988,2969.886,353.616,172.559,1975.355,165601.3,206597.11,10807.386,1513.571,27.79,809.762,3541.135,1262.338,2140.423,728.172,2993.236,76.105,96.825,2294.729
03.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,213761.08,238319.34,15487.088,1453.49,3.04,68.8,6843.274,3787.999,4013.544,1660.805,1601.372,0.0,8003.137,3894.566,1072.239,602.764,3723.754,197287.02,231721.34,13656.696,1788.413,0.964,18.988,5500.287,3836.842,4617.508,1394.705,3887.488,1247.026,512.676,4170.45
05.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,197412.16,225335.78,18753.785,1692.231,1055.39,4545.864,5613.958,3331.63,4312.597,815.918,1189.729,17.804,8648.49,3294.325,1110.696,366.756,3182.544,181433.62,221473.7,18102.434,1532.517,160.79,350.967,5788.096,1993.544,4126.107,1352.531,2906.064,894.783,415.437,1715.161
12.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,193349.1,231808.31,7107.852,742.178,14635.134,50385.68,6848.059,3771.924,4411.408,1205.944,653.342,991.42,16450.041,4212.992,1407.774,703.941,3322.196,194615.44,229204.9,7151.754,672.697,15206.493,48068.5,7150.522,4422.19,4682.98,1709.678,4219.066,1607.367,548.681,3157.36
13.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,188688.08,234715.77,5538.405,666.558,1695.388,13515.563,2545.448,3120.381,2889.834,550.171,1.831,16.424,3514.017,2657.615,260.021,290.759,162.158,184458.08,221048.83,4687.225,640.606,4406.283,23133.924,3872.155,3217.636,4457.842,1230.906,3520.785,1213.003,405.007,2309.594
17.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,257363.64,292788.06,21006.047,894.451,728.212,7003.408,7447.683,4417.406,5567.698,1781.581,987.154,68.508,7454.77,4945.173,1318.653,639.693,4404.3,239805.06,284863.38,16626.293,773.59,10.783,164.698,6679.494,3317.764,3062.342,470.852,1488.002,90.206,420.585,2091.484
18.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,201526.53,236336.4,15405.114,824.524,14439.583,43472.137,7201.166,4510.712,5048.985,1801.747,981.006,1867.008,18417.648,4051.521,1616.836,659.094,3926.058,194608.77,222781.44,11428.124,907.211,14824.321,40179.242,6584.312,4332.296,5300.534,1639.857,4544.198,1693.109,564.078,3517.211
19.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,247598.69,284733.62,8862.678,996.723,14215.822,44097.227,7192.52,4126.946,4805.65,2010.031,924.678,875.21,20037.938,5333.782,1993.025,723.292,4985.334,237810.7,271522.9,8247.385,965.395,15181.4,50691.91,7001.891,3910.131,4948.448,2097.588,5036.8,2045.556,683.163,4545.566
21.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,239479.77,301838.03,6568.419,801.625,118.775,4599.034,6292.304,3056.083,4747.606,1320.83,798.946,15.324,11360.225,4305.909,1367.218,703.555,2977.871,235216.31,291291.88,8517.199,705.263,1540.094,4000.253,7058.948,4248.483,5161.213,1595.834,4708.686,1651.957,706.31,3517.05
34.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,202989.95,250470.22,15278.404,1492.032,6188.496,21679.076,7372.407,4147.713,4300.195,1521.663,1177.525,416.797,7762.412,3393.332,1074.783,588.196,4368.642,199527.2,240598.77,13731.766,1381.573,3133.116,17827.152,5994.576,3655.5,3398.606,1210.53,4138.47,1281.827,529.998,4266.94
39.nii_SR_nonoise_3D_orig_newdataaugm_1e4GAN_T2_denois_cycle_4.nii,240452.36,275510.6,10400.171,781.662,18760.744,51909.613,9293.64,4566.677,5590.117,1475.361,971.541,1614.959,20872.281,4433.531,1636.158,757.778,4805.73,235884.52,267965.56,10222.562,817.14,15486.448,46647.445,8670.751,4249.912,6192.792,1378.264,4506.309,1931.121,585.738,4322.019
