,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,151376.67,191304.34,16593.875,1698.089,9863.623,31408.117,5343.9,1888.238,2351.628,406.98,600.23,275.564,7581.122,3679.618,724.229,211.29,2142.834,154867.95,212855.95,6086.578,1474.673,286.012,2862.373,3585.867,243.503,285.699,102.014,2456.92,6.619,75.773,2051.164
03.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,196073.02,245180.62,15067.226,1757.128,144.138,625.415,6346.776,3344.566,3784.948,1216.667,1552.843,0.0,3884.377,3499.372,1258.305,413.437,3209.292,182730.25,241147.31,13670.916,1747.799,6.387,136.427,5489.909,3362.912,3237.288,994.156,3411.484,1002.405,369.287,3339.938
05.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,184734.3,224292.66,16953.982,2022.401,147.194,574.307,5519.469,2900.042,4043.306,888.324,1083.272,0.0,3170.585,2961.07,868.702,321.213,2622.82,176329.94,220082.4,17894.906,1642.673,62.074,393.186,6017.214,1890.354,3277.879,782.659,2607.687,273.8,267.416,1216.705
12.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,180415.78,234512.78,7157.426,772.93,13237.273,51543.33,6423.428,3757.834,4677.178,1360.122,592.929,1087.414,16286.297,4021.67,1411.549,757.059,3300.173,182762.62,236005.95,7005.552,838.361,13797.22,46854.61,7346.026,4171.948,4790.556,1061.113,4223.874,1524.609,529.024,3396.66
13.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,169152.97,237359.31,2332.294,726.024,58.219,1633.817,1028.203,2125.164,1729.016,0.0,0.0,0.0,1052.031,1575.672,368.82,52.709,73.077,173595.98,233201.6,4895.447,650.475,320.205,6734.406,2875.579,2458.977,3182.23,618.856,3003.314,1042.965,222.73,942.731
17.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,236264.88,294393.28,19812.455,1063.107,487.157,3613.857,7274.196,3860.275,5222.85,1444.166,331.412,33.352,5119.878,4116.296,891.989,519.873,3478.31,218746.6,294887.16,16032.295,198.538,97.938,799.151,5404.55,3073.203,1002.244,5.121,370.809,0.0,159.153,757.188
18.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,188930.88,239218.95,14816.607,1013.108,14059.741,44088.28,6712.987,4184.192,4900.354,1655.57,1043.207,1977.646,18342.467,3855.482,1546.966,613.804,3698.104,186299.84,228444.2,11281.461,948.224,13863.473,41079.914,6372.871,4058.051,4529.378,1402.524,4557.852,1653.807,615.463,3442.536
19.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,231936.77,294425.78,8975.195,960.296,10102.79,38661.586,7405.142,3974.248,5034.546,1671.536,909.194,591.411,17974.588,4869.599,1820.325,663.91,4671.536,224149.16,281905.78,8558.768,1082.331,11729.508,44061.31,7255.656,3696.742,5400.452,1864.105,4726.352,2116.219,663.268,4044.53
21.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,224131.05,300356.4,6017.444,1087.314,67.404,2830.438,5797.728,3345.636,4560.397,1137.968,1013.761,39.293,10551.631,4215.748,1471.914,441.879,3077.79,219455.81,297567.84,8549.191,777.577,1393.11,7116.384,7274.934,4099.589,4996.63,1518.0,4693.116,1740.476,616.914,3336.093
34.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,191437.62,254119.4,15164.469,1530.643,3271.368,13530.552,7062.23,3918.385,4119.111,1715.172,1023.07,285.563,6556.444,3250.775,1262.983,678.588,3688.884,190968.03,247808.12,13109.321,1571.575,2186.879,14866.638,5551.401,3299.882,937.172,189.289,3988.033,1227.139,442.285,3542.936
39.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_cycle_2.nii,222734.72,279931.3,10128.715,833.696,17275.72,50942.55,8716.715,4231.499,5407.325,1536.395,916.598,1575.746,18282.182,3978.586,1731.051,818.008,4707.236,222806.53,273614.97,10073.179,800.129,12441.8,46845.4,8600.878,4188.803,5559.914,1266.14,4656.972,1762.114,608.871,4436.361
