,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,211016.84,226420.31,914.172,1011.205,4176.281,7059.622,2625.651,60.565,1135.24,185.391,0.0,21.806,10074.598,1419.271,26.373,0.0,487.502,175082.4,208570.58,75.832,740.134,957.661,552.679,1324.661,0.0,2.582,0.0,1636.542,0.0,0.0,91.984
03.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,213523.27,229490.95,10132.013,2016.272,0.657,3.113,4630.634,1012.352,2545.095,694.18,680.524,0.0,3556.836,4147.524,385.804,0.0,2850.943,200500.78,226088.38,7991.348,781.143,1.87,51.665,4809.837,1273.29,1928.36,301.399,1504.92,70.895,0.0,915.83
05.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,189450.6,210784.5,6208.664,1884.599,1.846,9.85,2890.317,198.251,2092.656,302.2,27.684,0.0,1906.049,2519.369,38.961,0.0,598.351,186136.6,211746.77,9228.961,1837.781,96.903,3025.293,4412.838,409.543,2400.093,336.637,3061.96,619.322,0.0,774.334
12.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,194760.9,214217.88,8787.524,675.018,15344.589,38393.336,7532.988,2884.489,2870.377,848.217,596.583,902.675,16907.725,3767.346,1208.624,18.056,4255.568,190137.73,213739.4,8915.058,932.197,15593.847,35335.0,6985.697,2944.383,3882.922,1367.597,3930.651,1248.019,3.518,3620.957
13.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,174938.7,205531.02,5930.71,724.996,10822.442,30232.684,4900.814,1374.178,822.356,0.0,378.29,1064.517,13917.88,2521.73,288.394,0.0,1206.047,170207.05,199934.77,5513.219,530.94,12682.53,31812.377,5855.174,2909.62,3611.361,565.025,2439.018,229.834,31.467,2168.802
17.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,280701.72,264022.66,16370.934,1224.45,58.826,228.478,6436.952,2942.522,1332.21,683.126,158.463,0.0,2590.916,3542.333,41.929,23.899,1820.667,255817.75,268488.84,8693.364,1311.641,15.736,89.237,4304.441,2763.997,2884.781,789.911,2406.858,44.062,60.872,527.913
18.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,223211.97,237258.16,5961.258,942.82,10227.972,21888.846,5726.35,2824.194,4620.184,1693.763,473.368,891.867,15666.322,3943.68,1220.345,73.403,3708.176,198895.42,215748.72,11235.93,940.347,10525.436,19392.9,4827.432,3050.81,4736.126,1836.982,3943.127,1086.489,133.791,3324.302
19.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,249463.86,260655.78,10073.684,758.389,14124.181,39913.43,8210.82,3852.356,3778.606,1116.395,928.327,1035.02,14674.562,4287.922,1381.389,138.442,3623.382,237871.31,254225.98,11401.319,933.204,14817.507,40682.51,6737.816,3969.737,4887.017,1914.635,5016.33,1715.749,400.072,3824.906
21.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,244720.28,273822.97,5933.47,1047.024,48.438,1376.284,6400.494,2881.802,4141.66,1120.657,401.115,0.0,1281.52,4536.51,1535.78,167.509,1820.397,235018.77,264693.56,10240.446,1091.463,33.687,7.895,5866.366,3722.556,2514.984,1314.359,3372.99,1002.082,184.726,1898.555
34.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,217657.02,232718.19,13967.454,1662.709,303.008,5238.19,7079.603,2871.491,2394.294,572.001,1220.507,27.869,8813.586,4360.235,954.819,4.541,3482.104,211976.39,222668.06,15101.573,1659.447,178.914,704.058,5792.103,3405.151,3947.089,1467.174,3768.666,843.844,18.125,3116.32
39.nii_SR_trainedwithnoise_3D_newdataaug_fcut_2.nii,248349.53,255842.8,12118.497,868.279,15028.497,36557.46,9474.994,4644.403,3420.223,614.432,795.701,1453.317,19252.033,4242.222,1405.715,106.915,4952.322,242322.22,252456.22,11892.105,874.046,17660.467,36085.426,8299.672,4028.818,4660.122,1621.545,3899.946,868.458,11.787,3939.262
