,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,160786.05,199718.61,16297.055,1556.701,3353.666,16166.583,3992.918,1656.676,1784.17,213.775,391.212,106.131,6168.917,2562.571,457.478,134.915,1536.93,164669.97,213914.39,5495.87,1323.599,41.405,1742.47,2490.632,162.675,135.849,45.536,2444.028,97.815,15.815,1635.177
03.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,206264.8,247873.58,14956.688,1420.14,3.719,165.326,6334.786,2818.994,3165.583,762.495,1214.791,0.0,2537.966,3267.643,654.22,51.821,2739.81,188977.06,235431.16,11947.435,1447.428,5.336,165.063,5731.328,3405.542,3204.369,884.823,2639.306,775.19,371.427,2208.824
05.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,191544.05,223354.53,19597.697,1747.527,91.669,1096.577,5359.376,3278.629,3542.936,731.954,1096.717,0.0,2021.356,2992.24,990.54,329.554,2941.11,179638.28,222157.47,18643.605,1296.647,3.619,76.371,6315.16,1737.97,3553.849,847.252,2076.554,396.274,268.927,1618.965
12.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,187845.25,234408.53,7004.093,695.244,13880.692,47814.086,6363.56,3744.703,4548.308,1209.641,698.789,1053.808,15304.756,3880.907,1151.139,823.549,3357.486,191276.08,231413.27,7104.164,713.777,15047.322,46855.215,7444.491,4116.37,4816.884,1401.719,3828.308,1372.797,515.86,3438.027
13.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,183471.05,242616.94,1433.336,82.432,431.416,7548.284,326.531,1983.81,1673.439,45.139,0.0,0.0,1992.034,71.697,43.902,57.835,2.116,184662.67,231315.28,4285.431,498.293,2076.796,12845.489,3502.074,3074.301,4297.385,1238.691,2780.963,697.298,278.88,1646.99
17.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,248444.95,292126.78,19309.557,831.336,486.539,4359.472,7180.998,4164.5,5394.207,1406.59,580.588,2.433,4406.179,4779.387,1001.776,434.235,3978.683,231058.11,284553.56,15787.049,601.565,56.87,728.038,4804.388,2685.163,1555.606,42.803,1144.234,0.0,216.946,1080.943
18.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,197060.61,239151.95,15322.828,838.445,13927.796,40108.7,6394.287,4114.462,4887.387,1582.387,867.156,1573.837,17428.744,4007.464,1447.381,534.072,3426.843,191897.3,226329.81,11463.104,903.922,13902.768,39045.758,6587.069,4074.71,4978.924,1613.133,4063.265,1386.04,642.298,3353.674
19.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,244675.34,294301.94,8566.69,791.581,12170.748,37278.16,7067.253,3907.54,4605.689,1901.31,911.918,620.082,19109.066,4518.036,1683.44,599.277,4747.231,233240.52,280280.6,8314.76,1005.066,13509.999,47723.836,7088.224,3837.85,5224.2,2115.618,4888.546,1800.556,652.306,4212.388
21.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,235438.73,302192.5,4630.912,852.608,43.727,1896.592,5980.212,2659.511,3958.074,1066.6,910.882,66.321,11488.66,4238.374,1378.206,522.497,2906.413,231250.39,295004.1,8223.766,792.737,1581.217,7502.407,7000.06,4198.494,4940.751,1649.837,4680.614,1335.198,602.89,3504.495
34.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,199596.53,248591.45,14793.702,1255.334,6681.044,20931.596,7099.816,3625.626,3890.846,966.079,911.055,222.906,7343.244,3390.264,797.122,516.582,3355.245,198420.08,244450.61,13410.893,1354.302,3952.981,22866.018,5964.606,3043.349,1230.247,454.504,4036.052,972.789,499.702,3129.025
39.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,232065.72,276528.84,9781.336,664.355,18077.83,50341.9,9704.795,4414.39,5187.199,1306.67,1028.648,1726.2,20486.666,3973.621,1325.195,816.827,4671.222,231664.9,272650.03,9691.059,670.673,14563.614,44011.48,8647.787,4278.749,6137.752,1228.878,4407.822,1585.845,669.33,4386.219
