,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,231919.42,217979.97,4484.344,1401.064,10753.818,18956.582,6021.54,1629.236,3743.137,1023.4,63.114,2458.513,14020.452,2558.993,281.831,21.938,2888.862,199282.42,211091.42,466.574,1165.647,8536.893,12384.644,2926.792,0.0,117.737,0.0,3021.317,1.697,0.0,2181.874
03.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,219441.64,233686.58,18361.2,1932.735,3.089,9.98,6178.266,3084.338,3028.002,1752.875,1569.956,0.0,6641.924,4667.626,1030.548,96.116,3825.5,206104.94,228259.52,14163.179,1484.674,2.113,3.232,5742.598,2518.431,4023.79,1747.799,3516.104,48.073,26.394,3303.927
05.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,201330.06,215257.75,16763.254,2468.628,9.239,121.595,5178.168,1390.805,3137.44,1418.729,1830.159,0.0,8935.228,4174.719,232.49,7.39,3158.198,189151.53,208717.05,17344.672,2198.507,1568.74,5125.09,5697.776,1491.325,2829.651,467.61,3601.37,539.496,1.579,2729.354
12.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,194071.19,208702.72,10045.666,658.424,13545.271,39034.977,8145.798,2772.926,3289.566,568.403,579.887,1877.442,18221.695,3882.033,1340.253,106.378,4109.916,189326.48,209887.88,9970.781,806.794,15255.646,35933.96,6716.766,3200.975,4158.148,1680.275,4292.131,1462.332,89.702,4014.574
13.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,174128.31,207968.42,7466.171,596.17,13361.954,35416.64,8617.091,2960.499,3540.618,378.019,885.582,2228.446,15741.767,3075.615,1040.962,199.751,3498.722,167174.34,202769.4,5881.465,659.23,13336.45,34198.066,6875.519,4137.796,5018.02,1100.041,3356.162,746.337,456.686,2831.846
17.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,282735.8,263406.8,24119.262,1447.619,1087.942,3133.685,7548.184,4017.192,2223.232,1069.954,1423.516,2.765,6915.312,4857.103,587.224,31.721,3873.076,260319.11,271895.5,21220.373,1538.593,24.843,1045.262,6101.154,4676.156,4053.89,1433.628,3645.14,875.954,30.587,3073.84
18.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,216853.06,222960.61,17539.016,756.354,15505.956,38254.004,7333.888,3144.148,4850.942,1701.927,862.339,2329.321,16960.82,4244.904,1410.804,188.957,3942.77,198094.23,208346.56,14729.509,807.374,13457.854,34488.23,6194.02,3974.408,4586.993,2139.44,3620.948,796.729,210.906,4207.294
19.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,253660.95,252521.86,11443.654,643.693,15566.644,43169.645,9172.161,4132.924,3789.094,1820.729,1397.894,2010.115,16867.332,4358.989,1415.861,546.761,3890.532,237576.7,247112.23,12122.874,963.295,15682.537,44280.664,7007.804,3842.574,5022.748,2404.75,5277.44,2090.963,685.832,3794.304
21.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,242863.02,277296.53,6150.444,1023.648,153.731,3877.697,6714.648,2933.15,4893.558,1669.721,1134.948,0.0,6229.222,4864.411,1675.73,418.456,4250.716,234340.92,263905.38,11169.235,904.994,10.508,489.148,6975.54,3768.247,3565.922,1819.705,3262.325,1406.842,411.64,3512.63
34.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,213925.23,228800.25,20269.023,1684.553,5246.59,19467.777,7156.665,3296.75,3417.521,1309.01,1526.45,902.272,12627.631,4219.974,1339.384,187.912,4016.974,208703.66,224226.23,19817.396,1217.038,6890.302,11144.376,7090.56,3883.142,4512.156,1757.547,4575.616,1285.096,341.032,3882.734
39.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,251733.38,251035.61,13094.021,668.995,16308.085,39928.457,9036.229,4544.652,4416.96,1421.812,747.542,2854.786,20994.664,4121.71,1533.157,476.108,4534.85,242975.05,248537.45,12908.584,645.493,18752.742,40888.457,8194.732,4254.061,5485.057,1980.934,3762.37,1366.335,530.958,4080.668
