,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,151527.12,197150.64,10361.239,878.77,601.63,3790.988,2756.792,874.674,280.612,0.0,0.659,15.891,5296.108,1607.125,0.0,0.0,74.616,135154.03,192308.86,3950.397,581.965,166.721,8.659,652.06,0.456,96.765,2.783,834.762,0.0,0.0,365.929
03.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,197543.62,230039.45,15878.367,1325.512,3.704,41.921,6756.898,3114.94,2216.894,649.526,849.696,0.0,2034.27,2205.342,559.096,350.364,1392.618,187886.55,225352.47,12477.272,62.178,7.588,23.653,6226.62,3553.046,847.663,95.595,136.757,98.17,424.235,432.96
05.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,180823.58,217360.55,19103.734,1869.762,145.824,167.698,6284.852,3101.884,3734.303,885.148,865.202,0.0,6586.104,2998.097,841.883,265.016,2079.956,176594.28,218314.84,18792.074,1114.327,54.623,338.689,6083.576,1579.515,2751.187,639.946,2311.46,345.727,16.286,1364.513
12.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,186756.48,238979.02,7014.096,1041.889,6974.22,35857.207,5778.265,3571.548,2611.176,841.896,666.699,246.223,13470.938,4252.15,401.952,411.397,2616.371,190893.1,237953.86,7140.26,853.717,6722.812,31765.86,6760.38,3502.547,3808.246,899.404,3908.014,707.922,90.231,2719.765
13.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,152133.97,203930.14,1247.566,33.089,2.818,86.049,7.16,214.249,114.469,0.0,0.0,0.0,1.094,24.309,0.0,0.0,0.0,174191.45,213316.56,1724.123,451.103,2.993,141.429,1332.924,1568.422,1300.598,16.749,1058.035,0.0,1.285,0.0
17.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,237581.64,267066.56,18883.717,1191.606,12.233,150.062,7245.116,3437.988,3633.775,854.239,243.636,10.464,2720.12,3683.721,379.005,223.803,2537.222,202287.62,256090.7,7503.469,45.902,53.358,26.924,5842.603,2320.18,673.98,1.914,57.81,0.0,77.019,1099.075
18.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,200702.9,244704.86,14660.464,958.812,6333.562,16525.754,6921.487,4062.117,2212.717,416.983,551.92,966.111,13878.567,4059.182,619.621,175.249,2600.872,194327.56,235432.19,11342.704,830.474,1451.53,13539.284,7043.778,3947.938,3917.524,1216.692,4440.708,646.134,377.551,2460.542
19.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,242905.28,290827.53,8862.186,1140.125,7371.708,21726.275,6555.762,3892.467,3885.386,1465.938,615.484,182.851,16847.928,4676.906,1013.421,425.075,3785.296,233678.34,281627.4,8455.688,1032.963,8188.299,42913.902,6751.788,3744.819,4432.211,1795.694,5155.389,1649.64,348.549,3787.752
21.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,225076.8,292424.78,3902.256,1293.661,5.171,44.882,6493.593,802.036,1778.281,581.394,654.105,28.224,10504.353,3734.391,886.749,44.711,2435.184,223545.4,285872.7,8197.11,816.9,363.362,814.428,7997.037,3713.381,4261.373,1277.552,4352.744,1139.951,395.784,2611.573
34.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,193040.94,241634.31,13276.405,1000.252,9.358,233.073,7227.451,3929.852,2910.88,734.854,479.667,0.0,2457.776,2825.066,192.326,204.113,2208.736,190811.06,240540.61,12674.984,1119.121,4.553,192.783,6389.507,3133.544,1688.206,223.67,3057.766,202.72,38.755,1812.38
39.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_T2_denois_cycle_2.nii,233968.73,279238.8,9388.463,815.155,16813.945,43297.8,8610.822,4248.712,4122.32,970.201,725.481,596.127,17571.053,3996.117,922.425,511.231,3651.414,236245.75,277314.56,10160.368,870.53,9317.523,37739.83,9942.249,3743.124,4704.78,526.521,3937.313,413.406,75.532,3246.297
