,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,160632.84,206744.69,13744.843,1578.185,2779.076,19016.225,4835.628,1423.661,1812.506,32.249,67.726,3.865,4777.408,3814.368,414.889,100.963,720.84,166899.31,211994.98,524.674,838.996,862.868,11586.85,2394.898,108.614,4.954,0.0,2373.74,0.0,0.0,288.336
03.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,202745.06,243685.2,15947.25,1627.747,23.66,1205.22,6503.864,2478.589,2188.853,599.919,1443.813,0.0,6445.039,4257.063,1227.869,57.243,3025.988,201162.64,236884.11,12850.957,1542.594,26.779,1049.464,5814.807,3131.091,3785.317,565.651,3719.681,652.401,23.314,2837.069
05.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,185612.98,230348.2,19601.832,1926.371,47.296,1949.059,4890.824,3045.405,4190.724,1214.792,1373.474,0.0,3357.767,3369.634,911.9,340.891,2486.642,176441.19,232916.97,17938.611,1542.231,37.737,1315.985,4818.922,2342.006,3631.03,1140.381,3364.12,631.22,346.241,1531.46
12.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,190941.86,243932.66,6861.426,594.461,13521.054,52654.293,5573.536,4273.374,4932.906,1304.475,348.292,549.828,15656.877,4436.462,1719.605,756.621,3281.044,196613.95,239897.53,7232.488,561.808,15330.186,51765.53,6485.592,3694.716,5650.744,1711.898,4366.304,1605.709,577.286,3632.479
13.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,200700.12,225573.53,4699.804,555.255,16683.967,45962.625,7000.002,3166.78,6058.956,879.196,391.806,1362.935,10971.003,3825.38,1312.362,494.364,2357.42,188409.61,215598.4,4477.506,544.975,14276.103,43147.34,5979.818,3680.606,5554.246,1652.728,3799.404,1458.496,555.436,2678.598
17.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,247798.03,290360.75,21150.582,1082.981,123.782,1923.856,7013.986,4150.246,6900.296,2207.544,226.758,0.84,1066.817,4762.798,1525.825,748.052,3431.018,236182.69,292625.4,15413.496,784.297,6.084,42.47,7878.174,2739.991,5270.852,897.175,3746.923,3.848,303.96,643.454
18.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,195537.45,250701.66,16622.209,784.927,12779.055,44670.246,6788.024,4688.906,5932.564,1564.945,742.742,1056.941,13292.118,4578.656,1672.258,620.519,3899.782,193597.83,233475.16,12177.329,792.449,4713.403,21457.309,6033.939,4916.302,5902.68,1235.968,4565.409,1718.584,758.212,2765.244
19.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,254798.0,290430.72,8289.466,719.708,18608.143,57391.46,5837.158,4879.19,5905.99,1482.868,830.905,585.885,17037.713,5509.711,2017.86,813.667,4870.301,242832.39,283521.72,9577.175,762.83,17556.379,53875.953,6734.874,4451.702,5791.99,1785.435,5790.438,2357.876,866.32,3847.924
21.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,244226.31,310867.44,4965.774,773.487,34.641,2176.816,5289.018,3202.179,6688.539,1407.071,148.469,3.007,2626.466,4811.078,1938.714,709.789,1435.836,240165.06,301346.06,7915.542,667.377,364.353,1628.526,7709.044,4326.76,6019.664,1475.268,4786.054,1800.993,714.482,1099.963
34.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,198276.58,251543.42,16823.3,1109.172,4123.054,18849.45,6877.117,3956.243,5145.284,1728.488,1189.199,261.624,10850.984,4032.768,1547.908,703.103,3347.717,197875.83,246544.55,14806.7,1069.377,6559.171,26880.523,7310.462,3258.408,4730.666,463.071,4810.617,1573.842,588.583,3674.392
39.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,233107.72,280840.28,11513.456,640.231,18416.184,51612.156,8395.413,4703.944,6790.058,1656.312,833.489,1163.908,16891.24,4729.956,1932.132,698.851,4640.482,233920.98,280449.72,11041.647,626.969,15685.074,49897.9,7225.736,4448.314,6603.816,2014.444,4845.62,1793.696,829.862,4373.161
