,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,163387.8,196944.84,16651.926,1653.753,13047.601,40768.363,5152.648,1902.478,2341.205,469.506,655.618,1034.435,10933.058,3307.552,427.897,330.049,1808.477,167874.62,213268.8,8872.949,1226.864,2461.604,11482.865,3828.588,592.164,1452.252,89.856,2946.374,455.133,98.486,2323.453
03.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,215550.7,251162.86,14650.699,1287.02,233.871,5106.406,6454.361,3719.794,4506.542,1642.927,1268.958,6.714,7529.559,3724.744,1161.418,814.214,3140.436,199810.8,237370.42,12980.561,1372.926,2.54,191.851,5965.044,3984.521,5776.704,1467.765,3590.064,1281.122,717.685,3427.602
05.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,193957.05,229573.06,18281.877,1644.74,1986.486,13151.247,6311.754,3178.702,4601.892,958.958,1047.096,33.823,8880.966,3215.103,1060.321,447.152,2594.392,186219.19,229697.94,17976.098,1659.512,18.977,1008.416,5339.244,2024.878,4006.974,1340.659,3612.586,1026.021,509.641,1985.232
12.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,194254.25,235277.92,6502.415,648.703,15209.04,52334.54,6858.99,3874.14,4899.018,1350.471,531.584,864.717,17105.426,4517.939,1338.166,735.46,3531.742,197950.45,235322.52,6788.613,670.703,15261.484,49897.08,7361.521,4121.531,4851.891,1497.796,3964.578,1462.905,551.217,3525.316
13.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,191404.31,238165.03,3719.494,478.622,4626.068,23951.975,5291.342,2460.566,2025.262,178.82,583.785,50.886,4339.728,2860.926,13.17,250.333,1124.111,183858.86,230760.25,4574.23,511.804,6879.315,25551.016,5697.492,3183.941,4971.771,1442.828,3397.411,1311.724,388.897,3130.746
17.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,259280.28,298581.3,20000.918,921.948,1720.31,8220.33,7595.01,4048.866,6198.545,1818.426,822.348,84.984,7777.088,5170.198,1331.896,678.728,4619.11,246640.86,296812.12,17234.338,924.216,312.572,2023.744,7846.226,3182.948,3900.993,383.481,3766.305,0.0,287.891,3043.512
18.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,202465.95,238358.48,14008.005,821.76,15083.185,45730.566,7167.662,4490.273,5460.43,2038.072,833.587,1584.57,19261.953,4073.69,1709.354,660.102,3455.753,196138.19,229280.16,10853.591,748.702,13869.344,44063.523,6837.168,4249.568,5637.008,1655.185,4607.926,1716.845,664.384,3515.938
19.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,248264.55,290646.38,8574.114,900.537,14137.054,48911.77,7063.932,4117.722,5083.244,1982.202,885.061,579.792,19348.723,5201.788,2228.372,764.041,4301.898,241216.08,281108.22,8199.698,853.088,14444.786,56736.125,7479.133,3907.907,5743.919,2039.53,4864.052,2052.907,607.232,4022.88
21.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,238445.95,308567.47,4854.566,844.456,101.268,2958.407,6893.963,3423.762,5669.73,1466.819,774.476,56.939,12281.113,4285.834,1775.05,536.118,2877.442,236619.02,300251.3,8191.234,708.128,2158.852,8084.257,7698.096,4180.589,5515.679,1550.255,4770.354,1665.838,654.358,3375.52
34.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,203732.77,256484.16,13822.05,1284.651,7469.522,23253.479,6676.236,4302.684,4423.802,1557.561,980.682,403.551,8400.358,3573.676,1218.216,573.281,3890.301,199047.89,244581.23,13017.542,1345.988,4853.482,25859.994,6372.552,3206.536,4476.702,1434.659,4112.361,1420.287,432.826,3647.332
39.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_cycle_2.nii,237374.6,279742.88,9584.757,680.821,18591.229,56747.297,8531.598,4341.446,5920.414,1774.426,1111.236,1426.29,22266.268,4383.604,1741.9,814.33,4916.4,236408.56,275471.4,9701.545,677.01,15451.114,52337.445,8939.808,4293.518,6347.529,1523.166,4596.66,1674.565,584.307,4549.957
