,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,165670.23,204433.9,17476.71,1304.617,4617.71,19320.81,4907.622,2573.476,3234.226,227.223,499.04,525.221,8466.443,4633.966,1081.94,228.322,2296.896,165803.58,209197.64,12967.601,1742.927,2772.565,5704.546,3420.734,629.205,677.889,0.0,4294.57,665.793,9.791,2967.324
03.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,203630.36,241145.95,19666.39,1327.966,53.341,176.778,6384.587,3837.943,3362.647,454.444,1730.432,0.0,6305.119,4796.126,1609.642,262.496,3046.137,196312.9,240585.66,15783.932,1512.384,14.714,568.96,5363.864,3783.926,3608.745,673.714,4286.608,1695.0,259.338,3180.508
05.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,187805.47,233108.61,21599.012,2256.536,140.866,905.477,4998.873,3385.826,4115.679,621.828,1489.55,0.384,4687.867,3382.044,991.385,489.304,2569.136,180279.1,231593.06,19687.16,1837.945,55.844,1834.422,4670.684,2792.459,3263.964,795.254,3651.048,606.447,22.006,1761.545
12.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,190175.73,243865.22,8069.447,651.068,14166.555,58839.27,5772.957,4469.245,5412.166,1375.351,457.45,965.175,17315.191,4708.892,1847.29,777.128,3980.935,193956.36,242608.48,8289.602,635.247,13403.417,51437.504,6112.593,4575.887,5346.9,1433.71,4970.344,2087.728,693.153,3747.342
13.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,190213.69,226477.95,6807.365,711.831,15093.798,47175.113,6532.276,3665.927,5184.592,1011.516,497.88,1422.946,10452.375,4066.958,1826.48,767.197,2803.364,177385.58,216401.23,5686.956,524.995,12651.477,38316.426,5289.344,3990.69,5564.962,1705.582,4122.812,1937.207,598.703,2645.08
17.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,251045.5,297843.38,24257.557,1151.032,416.051,3192.414,8768.069,4131.862,6314.743,1808.98,994.239,0.0,2203.732,5460.978,1851.541,719.202,4716.743,243572.0,301051.4,21603.805,1131.893,15.054,290.895,6691.528,4496.067,5691.544,1572.764,5001.164,930.818,602.092,3009.45
18.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,198302.47,245593.16,17954.12,935.193,14932.187,53873.83,7408.739,5015.01,6318.386,1274.203,963.591,1753.083,17389.193,5012.056,1935.723,582.454,4330.325,193345.1,237836.06,12941.312,775.822,13516.693,44159.617,5707.083,5283.916,5911.551,1638.044,5078.268,2091.376,812.968,4237.805
19.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,247992.56,291568.22,10134.816,738.029,17350.916,58238.316,6926.482,4863.444,5744.624,1736.848,864.281,1217.783,15608.499,5388.398,2249.301,852.464,4608.538,238923.8,286391.0,10727.911,917.844,15459.327,50464.734,6097.607,4785.902,5892.874,2416.814,5928.374,2600.254,1071.964,4617.365
21.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,238704.0,312598.97,6103.296,889.625,51.998,3258.436,6647.14,4073.288,6298.676,1482.16,1169.635,20.581,7261.928,5254.066,1867.117,689.041,2845.379,233319.02,307142.84,9802.5,775.676,385.183,1694.898,6766.448,4641.242,5771.263,1358.28,5305.194,2310.008,761.204,3026.197
34.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,195321.69,252588.38,19588.873,1269.595,1492.628,8439.772,6842.116,4228.615,5295.606,1413.067,1414.128,197.402,10308.957,3936.369,1736.722,580.331,3651.75,197949.28,252702.02,16466.287,1288.706,2962.387,17179.727,6622.126,4573.529,4705.241,443.73,5278.933,2180.357,734.517,4226.696
39.nii_SR_trainedwithnoise_3D_orig_1e4GAN_newdataaugm_T2_new_fcut_2.nii,232989.55,284514.34,13009.447,764.153,17208.336,50926.87,8105.823,4596.729,5925.986,1265.058,1014.803,1799.43,16705.252,4616.974,1934.69,724.179,5228.514,228255.75,283899.0,11980.411,806.542,14477.7,50384.668,6559.614,4790.039,6576.774,2012.302,5338.162,2405.84,851.896,5136.526
