,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,168523.5,198722.77,18172.395,1289.59,11475.008,32835.777,5919.209,2478.488,2572.163,156.882,693.779,1558.369,12182.783,4214.95,410.55,84.194,3377.993,173930.7,202517.34,17231.621,1393.71,6888.271,31227.14,4280.155,1608.27,1857.644,374.646,3531.891,464.079,111.679,3190.883
03.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,209379.36,230028.97,19234.645,1403.12,210.688,9.925,5446.738,3847.024,4460.266,980.746,2038.261,15.93,6739.626,4115.071,971.741,134.036,2665.666,199527.89,231618.6,16314.755,1731.644,1.162,169.42,6064.559,3952.558,4573.18,693.096,3501.158,756.305,396.775,3051.594
05.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,198283.34,229666.52,23338.465,2110.822,487.01,4744.648,5339.418,3224.206,5033.736,942.165,1833.529,0.0,9516.535,3242.318,510.88,483.197,2695.789,186484.78,227976.72,20453.719,1750.458,616.576,4427.378,5192.35,2886.609,3358.697,1212.429,3185.483,379.832,137.43,2153.426
12.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,195944.05,238559.8,8317.706,589.259,13665.436,55285.613,6361.11,4227.373,5529.994,1520.944,444.958,838.633,18630.98,5058.647,1500.206,761.984,3956.548,201730.27,236713.33,8438.251,536.891,15327.341,54271.54,6344.467,4427.16,5370.992,1598.2,4656.524,1535.817,599.882,3449.379
13.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,194784.62,223592.23,6084.119,587.86,16031.952,45768.3,7245.55,3528.197,5652.642,1604.832,517.395,1694.904,12631.175,4030.889,1481.521,617.894,2997.888,190423.62,213302.17,5348.694,417.663,14958.277,46119.19,6622.568,3520.146,5608.491,1492.66,4161.579,1500.127,534.897,2509.367
17.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,265464.53,289813.62,25097.107,1213.206,1241.312,6502.744,8571.853,3843.94,6530.892,1456.869,1005.793,0.0,3896.66,5226.59,1036.803,601.347,4195.6,251428.44,299488.2,22336.543,1122.885,77.889,653.106,7068.696,3426.974,5107.979,1351.141,5096.793,1218.846,193.152,2681.735
18.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,205891.27,241611.73,18356.602,866.573,16010.889,55880.348,7555.228,4408.698,6478.825,1582.847,982.573,1835.766,17410.723,4940.846,1798.635,583.132,3781.289,200577.86,230065.2,12936.888,786.611,13793.791,49329.156,6754.86,4989.814,6193.684,1526.56,4964.504,1670.769,720.768,3180.824
19.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,257838.58,286737.97,9839.825,633.439,18280.416,58355.805,8062.811,4550.11,5723.342,2023.74,866.86,1160.796,19263.455,5264.656,2119.641,869.391,4058.68,249471.66,277308.9,10689.064,788.433,17780.094,56599.594,7547.293,4384.067,5755.307,1895.785,5507.068,2348.952,1050.405,4198.339
21.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,247362.77,310563.8,7449.994,849.915,30.578,1796.463,5565.218,3331.494,6549.393,1460.036,1167.372,29.424,6562.364,5224.186,1722.258,711.975,3239.454,243830.36,301607.84,10064.82,685.012,1144.952,5475.274,7167.562,4377.178,5721.409,1346.494,4690.248,1630.476,843.642,2822.163
34.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,202421.42,241785.06,19756.166,1402.198,5079.675,21626.64,7380.362,3690.419,5467.337,1279.632,1426.114,383.548,10666.882,3828.153,1284.081,594.628,3837.606,204363.97,238895.48,16554.176,1227.281,7491.073,36418.08,7673.012,3809.057,5448.017,1115.261,4665.1,1634.768,539.288,4043.206
39.nii_SR_nonoise_3D_orig_T2_1e3GAN_denois_fcut_2.nii,239424.66,276439.3,13427.961,690.616,18606.432,54250.36,8204.38,4126.686,6604.636,1771.412,1041.224,1528.912,17113.152,4800.35,1614.492,680.073,4975.515,235726.28,273588.12,12663.276,679.58,17466.748,54385.48,7595.173,4202.562,6238.723,1625.327,5198.864,1870.056,746.303,4647.636
