,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,213182.95,245775.03,8146.753,1667.932,32.85,950.04,3025.068,857.474,1780.712,65.523,0.0,0.955,1.642,2821.527,1178.449,0.36,8.928,171363.55,241670.61,214.916,7.475,700.716,10654.874,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0
03.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,205621.38,245792.1,16232.252,2259.482,2010.632,2466.401,6715.232,2851.32,2893.591,881.667,1365.42,0.0,11000.408,5017.136,1279.074,304.104,2213.657,190192.19,240525.16,15677.074,1987.846,60.014,2.995,8716.261,3270.996,3674.057,806.904,4662.931,721.769,378.389,1675.22
05.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,177686.69,212508.69,7761.964,2418.068,51.478,151.842,4984.026,2210.23,4027.125,1098.16,390.52,0.0,5079.252,3567.372,959.646,309.333,950.444,173928.56,211029.3,10622.205,1989.363,52.136,1250.429,5066.898,980.923,3087.314,176.077,2676.352,309.395,274.376,631.039
12.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,182092.02,225597.84,10172.807,777.031,13162.509,44842.023,6591.458,3586.414,5151.473,1299.126,761.349,1732.38,18971.646,3612.357,1454.43,705.388,3263.166,180636.05,227936.28,10486.445,812.271,15101.226,44999.715,6141.476,3407.498,5430.088,1931.263,4622.096,1799.624,865.271,3490.84
13.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,173943.22,215968.1,4285.872,26.798,14722.885,47511.836,7661.482,2628.528,2389.974,77.809,491.811,2030.415,19062.182,27.889,414.429,53.711,1422.984,165086.05,208550.31,5481.062,516.744,13828.584,44309.91,8030.838,3077.175,6001.051,1720.511,2916.168,1092.524,510.461,2423.614
17.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,244155.75,276141.8,26490.676,1144.428,2352.244,7446.722,6806.14,3649.39,5420.89,1346.814,1209.421,61.802,9332.312,5571.362,1795.99,185.66,3552.192,234814.17,290582.28,24236.707,1558.277,842.009,3502.799,6128.335,4237.84,6795.602,1344.649,4384.606,1500.562,132.452,2221.931
18.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,200613.9,232553.75,14360.247,898.915,14690.435,49391.12,7211.467,3569.073,5600.89,1646.949,1080.729,2196.798,20372.682,4754.49,1760.062,634.382,3806.884,187662.77,226651.52,15391.631,788.362,13810.751,43558.914,6165.168,4037.008,6044.152,1977.948,4738.626,2064.86,800.867,3587.694
19.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,235193.98,280125.47,12391.859,713.381,17582.293,55359.63,9179.949,3664.862,4065.144,609.022,1417.446,1837.227,22706.916,4467.722,2068.338,804.454,3601.964,232992.78,277993.03,12516.477,819.617,17148.8,54900.64,7228.243,3556.638,5249.105,2213.02,4708.746,2577.948,562.361,4415.669
21.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,222786.27,289601.16,7382.696,1115.405,101.554,2078.751,7143.166,3436.151,5330.352,1613.544,1211.32,0.0,5788.482,4289.264,1919.052,718.212,3356.497,218510.84,289501.84,11800.306,708.82,674.771,1257.935,8323.85,3874.732,5041.393,1405.638,4179.274,1805.558,589.323,3134.03
34.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,196686.44,237962.5,15628.564,1727.259,13988.631,37820.945,8108.073,2873.594,3693.673,147.288,1262.004,1344.277,19301.238,3982.518,1419.96,172.96,3327.774,195066.27,241255.64,20581.12,1299.226,5948.082,8399.567,6404.18,3609.348,4367.853,838.274,4714.446,1928.578,554.203,2863.494
39.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_cycle_4.nii,223669.03,265464.3,14749.699,660.394,18165.668,51666.625,7688.67,4293.077,5424.372,1748.392,1188.938,2842.388,23174.6,4614.942,1548.259,894.773,4120.29,220855.38,264239.22,14656.081,664.026,18028.078,48273.332,7649.942,4236.514,6152.412,1611.443,4288.132,1529.589,721.506,3974.121
