,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,164743.84,210083.77,17745.4,1485.241,5290.92,28990.213,4874.966,1651.715,2353.737,192.735,499.362,297.276,7694.528,3341.562,457.502,129.427,1450.216,167980.27,215420.83,14426.297,1515.172,1946.212,15745.0,4736.657,187.614,91.706,3.946,3399.78,416.098,1.839,1663.777
03.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,199355.53,247294.88,17854.102,1603.866,1.621,280.89,5370.772,3809.666,1444.552,72.424,857.966,0.0,1660.34,3708.375,853.333,99.138,1450.977,191374.44,245987.28,14131.658,87.9,5.154,280.458,4881.944,4143.594,1515.2,18.97,110.525,518.872,45.702,233.482
05.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,188033.22,240309.53,21733.754,2317.904,50.45,3036.772,5110.266,3090.388,3757.398,471.016,637.606,0.0,8044.882,3190.608,594.6,438.008,2342.29,177071.52,235655.47,19519.646,1580.193,610.913,6491.72,4955.582,1967.341,2056.959,114.142,3257.61,500.002,0.0,1181.119
12.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,186769.19,255693.11,8089.198,663.658,12958.695,48355.984,6185.268,4096.725,4783.753,1006.573,380.872,570.544,16408.914,5014.148,1564.662,711.174,3297.12,189854.5,250006.08,8562.72,594.101,13093.441,45553.09,5758.676,4392.208,5667.801,1274.986,4972.328,1671.64,614.094,3698.444
13.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,183774.45,229564.58,7180.914,661.293,5732.745,30586.652,5623.789,3043.728,4042.936,578.499,615.112,335.905,10316.952,3933.374,1008.706,622.035,2701.068,175493.8,221638.84,5251.802,566.705,11338.194,40904.406,5458.391,3400.52,5247.998,1433.718,4064.596,1276.403,489.655,2783.494
17.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,245853.03,303676.16,24311.406,1412.135,177.727,2243.432,7239.886,3935.742,6230.617,1404.139,693.467,0.0,1745.447,4915.038,491.454,541.061,3055.347,237854.47,303901.9,21367.96,926.679,175.585,3254.978,7840.092,3916.474,4479.392,784.945,4637.491,167.837,368.42,1478.285
18.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,193226.88,254039.92,17663.682,815.826,10803.579,38285.695,6841.824,4751.219,6114.342,1476.906,653.22,690.368,10018.366,4828.42,1523.36,583.149,4193.994,190066.81,244518.23,12734.755,795.757,5948.78,24971.658,5363.188,5251.154,5754.733,1377.434,4789.76,1784.786,902.614,2980.968
19.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,241621.83,301402.94,9952.336,879.296,12859.566,51264.953,7265.616,4605.174,5488.942,1904.953,826.773,466.294,13021.64,4879.838,1884.558,873.732,3513.014,231110.16,293239.38,10533.623,882.034,11842.473,43011.316,6332.72,4813.35,5774.464,1972.018,5867.007,2448.868,1187.459,4145.771
21.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,229162.34,321537.22,6576.265,982.36,76.473,1143.569,4765.22,3119.999,5149.18,89.379,705.648,26.136,4736.516,4617.569,1302.212,734.224,1827.825,228338.34,316363.2,9604.922,765.563,530.725,3408.258,7111.314,4671.538,6021.908,1188.686,4821.45,1713.591,825.895,1669.807
34.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,192988.89,254406.72,18209.182,1422.779,893.456,7904.112,6516.024,4020.988,5023.29,921.213,1144.956,29.689,6904.268,3566.095,980.782,623.673,2823.538,195126.78,258300.11,16194.425,1183.78,3725.426,31585.205,7516.616,3350.903,4293.594,673.988,4464.667,1734.415,535.55,3964.948
39.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,226930.88,288584.28,13681.863,701.651,13867.878,44517.227,8545.396,4474.253,5763.03,943.072,939.811,688.011,12172.542,4719.095,1413.48,694.996,4556.56,226279.97,291408.0,12469.127,711.947,11657.197,45621.008,7953.752,4456.132,5222.476,618.994,5269.992,1611.05,769.191,3940.354
