,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,223580.62,218130.34,6715.444,1231.94,12814.865,20426.184,6094.5,872.946,3427.187,1140.494,20.669,2146.711,14840.827,2719.772,431.53,0.426,3121.346,194144.66,213329.03,708.248,1264.097,8319.542,8192.198,1870.06,0.0,455.69,0.0,2744.584,3.02,0.0,1639.484
03.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,225523.12,234312.48,14015.581,1731.219,2.038,0.368,6153.334,2162.587,3634.858,1805.301,1115.304,0.836,7301.335,4341.204,875.681,62.478,4054.32,207630.66,232198.77,11963.734,1255.84,1.039,4.439,5865.358,2417.536,2642.183,1701.255,2716.972,47.229,11.235,2847.382
05.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,202914.81,221119.02,8516.461,1896.812,0.493,105.502,4081.579,725.156,3697.025,1094.602,729.28,0.0,5340.113,3663.872,230.876,0.0,2605.048,192526.02,215164.55,13042.791,2364.594,520.414,5241.408,5360.84,1325.419,2793.068,1054.737,3706.332,364.967,59.599,2384.38
12.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,195859.53,214056.4,8670.678,531.338,14332.607,38942.188,8274.615,2826.504,3279.356,1215.146,594.297,1088.454,18554.506,3723.638,1236.294,163.509,4163.335,193791.66,215684.0,9042.52,893.988,14838.831,36699.94,6867.101,2930.59,4016.415,1795.104,4335.817,1200.348,146.398,4113.474
13.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,183573.89,213476.86,5474.112,776.216,14647.728,35565.367,9076.53,2995.701,3705.316,109.75,591.152,1796.857,16724.594,3413.488,928.224,177.889,3890.838,176235.88,210678.48,5343.26,755.537,14393.015,34546.855,6513.24,3583.144,5140.248,1528.495,3955.545,1239.767,377.274,3064.581
17.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,293084.2,267252.94,19315.69,1134.427,281.863,590.233,6991.778,2938.992,3191.437,1248.024,607.012,0.0,4129.222,4744.504,220.107,93.722,2634.309,271087.56,279289.12,15106.027,1637.984,65.957,441.315,6169.224,3787.894,5136.686,1639.337,3258.449,778.725,0.0,1947.36
18.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,225026.95,233051.61,11455.957,604.696,13217.256,26049.062,6247.894,3278.106,4959.626,1816.125,694.877,1683.378,17483.666,4189.962,1181.875,107.561,4054.589,204994.0,217773.16,12536.332,751.422,11807.006,26931.277,5671.528,3696.607,5194.098,2038.804,3791.034,888.671,185.219,3900.96
19.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,258509.81,260259.73,10129.973,667.167,15916.872,42482.63,8803.455,4085.656,4473.641,2148.435,1067.043,1136.43,17492.287,4384.869,1507.89,494.363,4241.36,245001.84,252147.9,10581.843,898.69,15816.469,44055.76,6567.037,3787.267,5126.276,2456.52,5240.546,2133.217,544.46,4416.58
21.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,250773.12,280059.78,5931.13,831.726,71.354,1732.314,7361.744,2915.097,4650.401,1556.873,1111.343,11.436,6837.312,4832.064,1865.563,382.966,4458.214,239415.2,265471.94,9909.106,843.719,138.712,498.245,6646.728,3503.432,3951.798,1829.871,3652.748,1564.743,303.009,3976.626
34.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,222350.08,232158.64,13698.231,1464.206,4183.248,14622.243,7181.495,3158.596,4178.986,1801.202,1389.18,452.28,12321.74,4339.556,1494.755,70.354,4181.454,218944.92,230331.48,14375.605,1165.806,1626.71,3222.181,7050.794,3654.457,4859.532,1929.7,4620.417,1713.501,342.971,4052.273
39.nii_3D_SR_T1_noVGG_1mm_128patch_dataaugm_L11_denois_fcut_2.nii,253768.73,256336.83,10980.41,667.242,16216.886,39369.168,9446.206,4188.02,5020.702,1596.703,749.545,2086.454,21575.191,4144.221,1368.668,452.256,4862.327,249450.61,254056.5,11358.123,564.637,18670.262,39565.867,7804.72,4038.908,5264.45,2138.732,3605.895,1252.064,347.769,4406.723
