,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,179240.16,204981.47,16121.938,1396.124,8197.276,18004.283,4816.863,2011.725,3647.966,814.017,571.756,1148.077,11692.341,3712.074,493.273,163.848,2401.584,181327.53,201226.58,11880.143,1309.664,6881.889,31065.488,3214.658,183.895,1897.277,250.313,3171.551,195.874,24.631,3650.243
03.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,219491.98,230130.19,16965.04,1291.812,1.173,60.824,5442.382,3163.538,4808.84,880.225,1049.35,0.0,4595.864,3732.553,1030.445,176.963,2083.271,216053.6,224126.44,15044.212,1268.081,4.997,195.835,5684.738,4129.481,4572.565,616.15,2505.82,342.404,284.726,857.541
05.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,205663.86,231305.84,21850.18,1627.22,305.996,3170.049,6473.928,3706.367,4926.233,1241.899,1693.32,0.0,9186.878,3392.462,663.728,271.296,2263.498,195497.83,230003.69,19190.762,1599.737,1839.757,10080.318,5815.468,2929.57,5258.306,1313.902,3650.282,465.236,237.014,1398.299
12.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,212460.17,235983.38,7126.28,633.921,15550.517,60233.035,5388.551,3795.202,5720.688,1691.435,535.457,890.552,19183.25,4661.567,1415.706,786.017,3674.346,209767.81,233709.14,7787.435,506.731,15337.042,55852.957,6865.094,4432.206,5376.04,1625.815,4886.224,1425.512,600.474,3718.563
13.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,206703.02,229605.31,5893.402,844.684,15122.172,47361.293,6147.826,3185.52,5461.382,839.706,353.828,967.494,7983.972,4340.643,956.074,242.925,2070.171,197216.23,215213.5,4809.23,532.719,13800.507,48438.043,6245.172,3738.35,5808.752,1363.548,4528.439,1660.879,578.293,2565.428
17.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,281041.28,298087.06,23379.656,1135.938,707.704,4167.178,6419.493,3458.827,7423.516,1075.343,748.325,0.643,2966.385,5457.456,870.602,356.08,3470.681,261078.4,298699.16,19788.854,905.929,165.279,1745.878,7057.518,2772.859,5764.018,1093.465,4685.489,8.302,92.932,2093.899
18.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,211314.39,240218.44,17358.158,843.098,16113.207,56830.67,7944.288,4222.758,6889.823,1674.661,825.021,1670.126,17555.71,4654.907,1656.677,579.25,3725.31,205683.14,229078.05,12451.834,703.77,15647.068,53495.33,6701.382,4891.042,6357.37,1721.617,4817.502,1705.505,727.615,3902.638
19.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,268145.56,289044.8,9162.513,670.984,18248.816,61130.16,7116.152,4633.742,5838.458,1509.796,815.725,1061.963,14959.422,5570.892,2102.094,845.584,4045.558,257490.45,278977.0,9861.333,679.013,17619.93,58351.965,6936.552,4380.544,5946.72,1839.869,5962.457,2517.4,1016.907,4136.976
21.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,260006.0,311972.72,7650.013,990.663,81.67,4748.232,4295.156,2643.621,6871.936,973.839,540.262,19.315,5678.614,5234.857,1790.834,723.013,1375.007,253700.55,302370.56,9130.916,611.47,1291.791,9720.255,6908.462,4362.4,6439.67,1496.115,5021.55,1716.411,790.485,1674.993
34.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,207121.47,248455.7,18701.73,1182.952,4716.092,23910.332,7390.606,3704.371,6201.238,839.558,1464.408,201.075,8744.635,4063.758,1361.874,582.906,3188.429,208983.23,247252.11,15345.035,1157.852,6085.003,33599.332,6869.363,3994.522,5251.042,1534.291,4412.278,1463.983,427.981,3163.61
39.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_fcut_4.nii,248743.94,278011.4,12813.473,726.862,17161.94,56799.89,7624.176,4505.992,6952.126,1103.527,896.968,1447.004,16823.363,4634.541,1357.858,650.689,4463.272,238933.97,277960.1,11940.021,789.182,17523.473,58371.734,7809.086,4602.849,6616.048,1828.032,4955.094,1798.293,682.382,3940.427
