,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,169959.81,199393.88,17300.281,1249.287,5762.322,14134.658,4747.888,1954.072,2783.232,350.693,109.39,1124.396,10375.942,3939.938,802.695,50.435,1191.58,155864.28,186570.39,13108.388,1038.066,6453.111,12136.68,1766.677,46.891,17.81,0.0,2884.242,23.148,0.0,2715.484
03.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,200380.12,215621.56,18158.297,1448.954,1.777,35.923,6409.325,3310.741,4072.03,870.784,611.021,0.0,3251.63,3275.459,904.029,199.507,2103.768,197397.36,204069.25,13897.794,59.162,1.387,60.58,4465.547,3742.896,1290.292,243.71,93.698,158.266,28.187,669.307
05.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,195330.17,220927.22,22844.137,1556.49,6.68,139.913,5276.56,2796.939,3510.063,599.759,1373.406,0.0,6353.727,3405.593,606.101,439.681,1857.739,190769.45,223973.88,20104.68,1360.865,48.203,1672.137,5179.428,2850.519,2262.644,319.092,3610.444,14.387,10.759,1583.567
12.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,204958.23,237589.03,8828.525,845.882,12870.632,44949.355,4686.986,3652.736,3667.883,834.824,175.412,496.841,13312.837,5533.612,1153.332,460.011,1636.28,208986.69,238279.86,8338.38,764.391,10793.443,35183.906,5690.756,3788.701,4451.008,1061.048,5905.634,1212.118,391.561,2441.682
13.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,202460.64,225005.62,5890.188,1029.57,2647.016,13491.842,5504.475,3564.977,5317.762,1464.204,392.358,17.229,4388.634,3725.772,944.072,391.601,1430.838,198807.64,214034.23,4653.836,595.338,6882.157,21233.803,6346.094,3381.389,4428.09,1124.35,3839.674,977.785,353.815,1628.075
17.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,259513.03,267366.75,21815.668,1039.083,0.736,4.213,6977.108,3158.392,5057.325,1156.696,114.024,12.769,864.715,4740.446,482.203,92.07,1876.037,241988.39,267844.12,15900.049,826.026,39.109,3.705,6159.561,2664.993,1858.185,3.783,4158.796,23.434,0.691,719.654
18.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,206486.9,240553.52,17923.275,871.654,9420.066,32340.75,6650.649,4396.022,4198.506,761.958,549.328,605.277,9104.247,4738.926,1040.735,380.993,2702.302,208316.6,235827.33,12341.37,991.001,2142.948,16633.354,5549.233,4664.879,3536.786,443.632,4782.206,969.738,446.044,1576.163
19.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,268397.03,284705.97,10584.093,956.627,10734.263,32745.012,7478.402,4569.706,5022.777,1405.261,566.934,148.434,11305.563,4753.696,1605.695,710.367,3880.064,257677.89,276865.88,10587.351,931.211,11889.664,42428.09,5793.664,4198.312,2717.976,1129.922,5495.74,1674.556,835.219,3602.964
21.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,249490.7,299527.53,7115.183,1279.325,6.405,0.143,5941.112,812.748,3487.828,639.352,211.238,15.477,4212.0,5399.946,1691.19,72.187,1893.945,252554.38,294183.53,9951.266,833.255,15.35,370.424,5376.624,3584.879,4471.09,524.802,4662.48,1019.49,416.406,1109.209
34.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,200984.9,235300.88,17756.861,1089.061,9.867,148.504,6266.548,3360.31,3468.388,556.495,566.066,78.024,8073.466,3297.697,398.643,401.044,2235.307,207508.19,243469.88,15502.995,1218.274,327.887,9839.54,5797.332,3613.452,3153.681,122.504,4673.081,908.102,285.645,2756.955
39.nii_SR_nonoise_3D_orig_1e3GANlr1e5_T2_denois_fcut_2.nii,245718.55,279732.84,13399.282,1286.188,12094.463,34331.59,8098.66,4278.934,5053.048,1031.809,785.431,703.002,14269.462,4983.445,1258.427,576.913,4143.758,245779.34,279267.44,11579.31,885.437,9806.991,26491.623,6328.78,4020.736,4373.294,550.684,5240.302,1398.827,571.94,3404.162
