,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,158380.56,199135.17,16633.182,1859.349,12493.479,41180.984,4499.802,1852.138,1438.156,144.36,787.509,760.861,8952.63,3032.382,268.434,207.664,1506.286,166201.55,215756.77,8916.9,1345.777,3438.774,16785.742,3581.561,408.957,609.446,415.219,2404.739,119.917,75.31,1928.77
03.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,204058.83,248747.5,14882.918,1323.902,85.219,2533.815,5823.114,3440.901,3464.023,1209.426,1347.985,0.462,4222.926,3598.852,751.897,396.303,2413.794,194321.98,241765.55,12951.541,1426.658,10.694,198.292,5460.36,3293.613,3954.133,837.317,3408.134,1058.796,363.52,2347.4
05.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,185528.19,221896.22,18760.545,1839.64,133.414,2697.355,5147.329,2999.692,3211.444,636.555,1050.891,0.0,2763.929,3438.074,724.517,326.232,2816.832,181268.95,223152.52,18321.146,1135.833,0.924,27.232,5465.931,1706.315,2384.958,382.316,2652.7,376.547,225.024,824.821
12.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,190734.75,239271.81,6996.246,728.227,13237.965,50539.598,6028.569,3754.714,3833.82,1031.007,412.508,515.241,14429.039,4085.308,912.76,725.988,2879.464,192236.34,238007.66,6938.878,713.315,14038.206,47826.715,7369.484,4177.774,4500.426,1276.82,4066.26,1333.626,657.196,2813.63
13.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,184596.97,239743.88,3078.973,512.35,1724.764,13824.851,4249.188,1694.108,1827.15,280.28,126.522,0.0,2736.17,2204.613,252.477,3.379,423.063,184701.78,230806.98,4059.062,603.355,3493.2,16129.125,4464.167,2685.095,3829.17,1143.603,2928.518,576.091,183.379,1400.629
17.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,247441.73,291476.47,21315.578,1051.06,838.284,4726.269,6886.442,3896.603,5796.775,1721.02,689.562,31.645,5298.77,4954.902,1229.436,702.331,4163.167,237632.78,295889.28,18350.94,939.198,306.476,1471.25,6903.382,3212.672,2369.34,129.857,2556.332,59.223,414.589,1975.913
18.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,196111.89,244992.97,14602.659,808.171,14742.523,44699.74,6242.334,3993.067,5435.017,1836.179,895.811,1514.261,16774.285,4197.604,1676.043,593.206,3780.707,192481.27,233635.48,10949.944,759.83,12897.689,42744.566,6971.126,3903.56,5204.08,1430.953,4417.03,1541.026,618.736,3701.464
19.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,242678.1,296737.97,8296.512,636.679,15014.618,52653.227,6629.534,3975.923,4908.848,1770.24,845.506,654.3,18466.793,3803.208,1470.352,686.061,3883.478,237287.95,289379.66,8386.142,880.857,15459.379,54074.64,6983.129,3667.558,5076.304,1734.446,5133.302,1572.944,589.905,3787.489
21.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,235078.16,312981.72,4585.16,983.179,93.047,2363.776,6197.7,2369.028,4273.394,662.214,846.036,11.578,11369.779,4115.204,1211.176,405.185,2256.853,233749.72,305844.7,8232.97,852.755,2318.552,13865.044,7012.475,3701.665,4685.148,1319.035,4479.34,1639.133,617.023,3097.003
34.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,198264.56,250616.19,14850.869,1207.379,5645.726,20323.29,6534.167,3841.423,4198.04,1338.876,1006.222,28.485,6829.234,3153.901,1126.618,619.77,3450.044,198338.78,248586.47,13297.205,1356.893,6229.23,26913.994,5538.461,2874.96,2881.631,774.125,3748.085,1003.811,413.67,3277.672
39.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_cycle_2.nii,233030.72,284777.47,9965.728,752.99,17868.643,52463.18,8943.782,4272.538,5255.044,1072.972,987.591,1370.036,17424.553,4323.204,1502.447,782.936,4342.335,230484.86,279528.9,9773.943,719.766,12965.645,47269.914,8605.705,3922.766,5858.108,1308.432,4636.779,1677.464,609.87,4112.903
