,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,227610.95,257773.45,15318.187,678.79,9826.758,64683.984,3408.217,1430.058,1090.621,249.218,0.217,0.367,1353.779,2308.426,26.065,1.421,701.587,213173.3,261549.6,4369.227,1.114,1232.21,18508.148,0.0,0.519,12.535,0.0,17.183,0.0,0.0,4.035
03.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,223334.16,247356.58,21331.162,696.885,317.214,4141.02,8336.398,3342.151,3071.444,974.745,2302.302,0.0,9734.597,5068.127,1044.071,559.796,3389.809,209753.66,235396.27,21928.047,533.725,1.331,213.437,7576.827,3350.877,3429.004,1103.65,2853.936,637.038,597.833,3742.198
05.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,202086.98,224027.78,27127.03,2118.073,3513.394,25942.242,6713.089,3383.816,4129.78,1909.1,2397.514,339.048,16032.116,4044.865,929.816,522.212,3242.569,197618.83,221291.52,22315.22,2163.83,3225.192,31700.63,5695.721,3089.66,4386.382,980.214,3682.318,1557.067,546.55,3291.26
12.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,196640.7,226699.83,9670.319,281.966,12651.565,51224.74,6930.727,3689.94,4634.284,1329.314,682.34,1458.447,21173.336,3287.5,1369.161,733.903,3761.197,197159.27,231428.31,9447.797,587.98,13408.769,50638.15,5955.464,3603.245,5390.912,2005.832,3911.58,2096.161,793.719,3849.139
13.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,190013.33,215687.19,5655.213,242.473,13007.815,53302.62,8044.03,3941.05,2939.7,1167.13,610.224,1576.348,19778.99,3040.902,1213.09,576.046,3542.286,178507.66,213273.39,4923.466,104.053,11843.283,49630.547,7353.852,3310.756,5730.049,1390.091,3247.546,1972.262,742.638,3544.298
17.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,264363.16,283547.5,31750.594,413.698,6873.973,21880.654,7758.733,3223.508,5058.758,1788.343,1573.847,363.01,15305.278,4437.036,1712.177,481.549,4046.681,268274.2,293205.28,27870.418,1209.115,5356.32,20401.14,7226.72,4062.909,5427.956,1393.287,4180.631,1547.758,313.923,2732.74
18.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,214144.56,235721.14,19471.246,324.324,15148.901,55418.992,7512.924,3501.208,4859.723,2117.734,1137.409,1898.578,22722.236,4168.372,2076.757,745.983,3757.642,203530.0,228341.81,16180.67,509.222,12461.758,50255.094,6152.67,3339.477,5860.694,1857.036,4256.66,2153.402,753.355,3800.106
19.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,255423.16,283086.34,11322.432,359.755,15605.642,59258.816,10766.808,3882.707,4099.013,1123.873,1267.66,1147.32,24255.316,3901.282,2161.534,743.235,4353.222,251852.0,282594.28,11115.66,638.978,15267.355,57130.45,8903.069,3351.965,6111.084,2111.141,4575.168,2697.993,849.27,4845.772
21.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,246936.98,291899.8,7086.122,537.93,6042.265,37696.695,8424.115,3342.043,4967.143,1762.477,1294.956,0.0,8947.618,4199.295,1928.349,847.017,3940.798,240389.33,289446.97,10882.111,418.075,3937.416,41884.645,8238.552,3951.46,5119.542,1310.576,4175.429,1871.295,882.631,3787.746
34.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,213415.6,241893.66,20884.104,543.307,13150.753,53108.824,9001.835,2730.044,3315.257,1442.761,1421.101,773.622,18463.232,3900.141,1368.874,419.77,3506.255,210502.11,244851.22,21192.941,974.057,9519.64,54373.3,6814.152,3312.493,4905.988,1323.238,4449.537,2127.667,490.036,3842.855
39.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_cycle_4.nii,247043.44,268307.2,14502.702,307.142,18132.617,58730.86,8686.118,3751.345,5156.026,1612.663,1037.381,3067.447,25718.611,3793.968,1948.546,748.245,4180.32,239893.39,263668.84,13746.226,334.822,16658.33,53822.664,8296.335,3940.32,5894.91,1449.782,4103.018,2389.939,818.92,4661.904
