,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,179231.19,208758.92,19402.43,1398.147,15791.685,56025.92,6523.992,2352.819,2966.877,1148.518,1383.241,1098.35,18100.732,3314.202,1204.316,455.502,3115.596,174519.95,205529.25,23302.035,1327.424,11293.921,47178.11,4838.796,2249.619,1888.428,122.927,2994.046,1497.906,300.064,2937.697
03.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,216724.97,244254.34,19641.525,1792.721,9818.181,45928.55,7415.933,4310.844,3968.218,1592.72,1943.792,124.413,11250.141,3066.06,1435.494,732.86,3873.469,212163.84,244546.4,16128.434,927.872,6001.436,42966.207,6276.515,4568.824,4716.326,846.475,3154.89,1776.542,630.365,4337.393
05.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,210369.05,241390.9,25498.29,2083.319,7085.204,45391.176,6224.918,3266.675,3755.612,1429.103,1842.918,271.324,16843.63,2764.415,1074.626,611.859,3725.428,205812.44,226919.77,22056.86,1521.142,8509.951,38306.793,6060.445,2375.44,3546.746,835.484,3529.71,1172.287,451.874,2961.102
12.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,202646.67,247377.17,7093.168,298.666,15884.11,65809.02,7501.344,4316.508,4699.411,1490.314,440.927,713.005,22628.719,4389.242,1777.467,802.017,4058.281,205559.36,244783.66,7765.788,412.453,14331.52,61278.414,6320.35,4499.158,5335.109,1254.586,4141.076,1820.548,776.639,3726.063
13.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,196965.61,228427.7,6775.357,312.453,15079.154,59327.2,6973.632,3521.819,4422.992,1598.323,608.775,1649.631,19009.67,3660.701,1537.043,991.019,3741.312,189479.66,219202.34,5224.936,409.493,14073.015,55653.594,5793.772,3301.044,4902.985,1660.589,4131.9,1916.855,752.313,3809.7
17.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,280959.53,312386.4,25889.621,265.248,3913.424,29500.42,10613.004,3719.231,5639.605,2073.641,1121.523,0.555,7002.876,4311.069,1248.013,709.53,4571.236,276836.7,310341.3,25755.916,620.77,2.367,672.163,8115.268,3584.89,6108.503,1615.987,4319.695,1890.724,874.08,4157.124
18.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,206930.06,245162.58,18141.723,424.085,15298.798,64534.65,8344.497,4584.156,5670.45,1989.844,770.293,1224.161,21933.877,4174.462,1654.798,663.872,4294.24,206276.38,235853.52,12067.156,608.424,14610.153,60650.74,6329.806,4928.482,5573.838,1826.296,4238.95,1827.206,902.495,3955.374
19.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,257656.38,294199.5,9363.585,595.144,18220.082,64539.84,9594.98,4520.974,5765.981,2001.458,888.542,918.589,21680.092,4539.667,2349.716,912.698,4505.606,250578.06,281511.1,9982.23,775.649,16625.861,66237.74,8006.984,4189.097,6024.262,2086.129,5233.275,2711.337,1083.407,4456.888
21.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,252370.06,316357.7,6880.204,591.725,11350.75,51748.1,7128.126,3848.248,5734.142,1791.187,896.574,230.355,14130.831,4525.408,2065.981,916.214,3898.524,250248.6,307703.0,8810.229,531.735,11357.966,53358.133,7574.196,4490.964,6123.678,1784.223,4417.526,1967.969,915.978,3620.72
34.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,207353.89,244095.64,19191.678,1083.313,12558.083,56208.4,9161.344,3933.787,5140.91,1570.514,1296.791,387.378,12971.687,3656.016,1204.887,666.08,4017.268,212898.4,249269.52,15853.385,811.29,14803.647,65046.36,8192.27,3300.585,5331.148,1692.329,4426.762,2090.897,694.83,4324.152
39.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_fcut_2.nii,246272.86,284124.94,12901.556,361.616,17803.482,64709.188,9749.494,4166.582,6150.794,1616.182,1074.807,1477.653,24008.646,4205.863,1725.806,879.434,4755.992,247084.95,279513.0,11941.201,586.654,15742.941,66429.15,8209.314,4065.283,5962.126,1815.509,4761.862,2415.738,950.352,4654.711
