,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,194468.7,263007.94,17519.258,0.589,391.613,20787.553,5852.199,3117.06,2495.998,388.311,22.601,0.0,7617.68,390.273,118.911,10.317,1057.453,176920.77,193471.03,14994.731,474.076,675.57,19155.49,3852.204,1027.284,1541.795,103.62,3027.073,678.93,0.0,1405.031
03.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,239191.17,254844.7,18005.602,882.157,8202.69,37801.203,5901.362,4892.161,3726.567,1375.353,1241.781,355.483,13771.637,3544.164,1642.987,660.769,3552.085,222899.55,237595.8,16738.39,169.482,1999.378,22921.725,5805.217,4381.429,4258.318,156.333,3041.084,1016.086,683.295,3548.197
05.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,233017.17,247831.45,18588.79,951.818,6791.788,48449.82,8175.461,2942.788,4779.842,1511.595,1002.8,81.916,11378.71,3189.44,1406.819,20.099,2817.623,235016.02,229332.94,18228.533,1015.644,5295.332,32964.004,8918.904,2804.477,4978.188,532.732,3306.418,650.142,277.611,3936.899
12.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,220742.83,240791.58,8577.403,237.441,13911.27,60816.504,7455.788,4379.914,4423.608,1504.128,531.267,544.869,17491.457,3644.011,1808.389,812.554,3412.098,218454.05,239185.38,8654.533,381.666,12541.38,55649.086,7523.502,4672.054,5414.68,940.918,3907.144,1564.304,757.205,3338.874
13.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,208378.52,229207.72,4717.476,246.364,17064.203,61111.973,7482.94,4108.781,5597.096,2016.26,541.496,1265.296,19969.863,3755.062,1885.409,941.335,3477.56,202822.36,221217.97,4229.338,311.297,14241.854,54462.883,5978.821,3935.167,5890.256,1432.727,3632.045,1913.274,789.449,3367.528
17.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,286950.8,317852.56,23165.83,358.562,3383.316,28627.04,10066.019,6026.357,5483.772,2207.636,829.565,0.0,10038.302,4102.152,1630.563,498.342,4384.534,292454.34,313243.5,23967.494,369.097,0.469,242.695,10325.799,3868.369,6624.079,1303.145,2883.852,751.106,145.482,5834.616
18.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,225636.38,247784.42,19011.05,338.207,11204.174,57000.957,9417.468,5404.567,5598.94,2030.692,584.577,11.445,6679.978,3703.08,1887.078,412.981,3301.068,219307.08,234490.44,12552.621,409.974,7655.715,47447.227,9384.32,5332.908,5931.972,984.018,3780.597,1527.023,425.097,3262.872
19.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,274936.7,286381.6,9367.786,292.731,17741.926,66616.484,9262.469,4890.328,5671.064,2190.458,851.491,1074.104,21330.248,4669.297,2224.024,821.435,4291.29,268900.16,284441.5,10431.356,585.823,17392.953,65302.64,8632.227,4433.14,6279.97,1537.984,5091.258,2516.888,961.444,4261.664
21.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,270399.5,312098.7,5266.758,274.269,6256.5,52084.062,7813.41,4126.398,6165.915,1635.651,753.455,46.471,11716.691,4247.172,2273.235,778.274,3602.485,264980.7,303226.06,9492.592,423.994,5269.379,45000.766,7641.922,4574.072,6711.723,1516.391,4116.686,1913.152,760.131,3390.928
34.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,222547.62,245303.28,20140.484,683.21,12857.882,50697.96,8657.706,4261.992,4679.906,1558.318,1080.508,343.984,17328.912,3586.062,1707.11,529.171,4124.201,221906.98,246565.16,16782.352,682.533,11429.124,58774.625,8629.895,4005.579,5411.098,1056.642,4690.472,2370.514,607.442,3966.144
39.nii_SR_nonoise_3D_orig_1e2GAN_newdataaugm_T2_denois_fcut_2.nii,260025.19,282286.38,12963.332,279.979,18122.453,64693.195,8033.59,4640.754,5940.184,1775.062,1160.38,1391.083,25581.268,4017.266,1985.854,1005.611,4878.09,261075.7,274641.47,13238.919,388.891,18599.412,65324.363,8112.064,4998.82,6679.472,951.76,4800.44,2228.498,913.948,4845.173
