,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,179490.55,202617.11,20250.08,1843.565,14145.423,55104.812,6701.314,2180.366,2337.348,789.669,836.806,1463.67,18723.691,3000.184,1173.648,379.017,3116.056,182628.44,202179.28,19730.404,1274.003,11781.355,43152.395,5133.378,2281.085,2063.802,432.429,3458.688,1602.908,251.327,3032.68
03.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,223829.58,237983.19,19415.686,1207.546,7115.542,39995.26,8774.693,4192.018,4567.458,1432.974,2124.001,146.225,12939.169,3622.832,1264.801,737.713,3783.064,219865.2,234192.05,16088.816,1043.254,3107.054,17456.703,7240.151,4226.256,5200.132,1061.737,3697.254,1521.75,733.436,4309.452
05.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,211471.36,233668.56,25624.227,1713.75,5136.515,37517.85,7101.67,3408.18,3636.546,1389.532,2022.472,444.035,16218.983,3070.197,1084.241,617.269,3576.3,209961.14,222262.0,22521.557,1563.979,9258.834,34539.38,6346.15,2745.855,4336.998,1102.367,3889.002,1373.472,530.559,3584.436
12.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,210513.12,239142.0,6932.738,265.44,15989.376,66732.66,8031.553,4548.184,5130.614,1553.874,482.28,810.497,22958.562,3841.012,1846.559,819.553,4074.266,213623.55,238808.97,7475.87,409.502,14355.525,59157.457,7225.38,4373.207,5144.905,1393.879,4050.959,1941.724,842.046,4226.031
13.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,213110.66,226198.17,4870.383,188.32,17548.182,58285.074,7946.239,3649.924,5025.004,2000.429,577.099,1366.924,19825.98,3456.866,1716.614,868.767,3716.453,208838.88,216124.48,4171.369,284.652,14089.553,52013.81,6310.878,3715.254,5771.73,1514.09,3569.356,1913.238,830.388,3665.188
17.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,291825.62,301958.7,25532.602,449.846,14272.402,37426.07,10946.104,4278.37,5727.461,1975.946,1128.846,355.583,19124.65,4491.888,1716.049,867.875,4529.918,288248.16,303808.28,24827.275,639.52,8466.243,25022.78,8350.628,3733.623,6105.32,1598.548,4506.336,2099.923,803.99,4806.819
18.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,215811.77,241858.48,18735.967,383.055,15916.271,64746.74,8725.352,4698.32,5629.78,1888.007,884.142,1640.253,23348.926,4208.918,1667.765,713.738,4402.932,210108.11,230200.77,13037.971,609.044,14194.103,60943.914,6682.459,4906.265,5829.243,1941.688,4017.161,1815.827,810.067,4350.99
19.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,275195.7,285156.2,8820.311,377.456,18569.527,67171.336,9944.464,4525.93,5700.03,1756.603,884.207,1028.007,23444.176,4475.016,2307.288,919.06,4478.835,266661.03,277990.44,9478.092,582.958,16340.488,64710.445,8856.135,4277.438,5841.783,1984.876,4821.781,2688.908,1088.396,4688.433
21.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,267093.72,310873.53,4820.413,355.166,11717.854,55367.81,8395.324,3805.207,6039.958,1841.51,1044.812,309.068,19276.697,4328.037,2360.155,832.138,3764.948,263365.78,299430.66,8726.796,455.185,9247.996,51431.492,7818.236,4349.709,6146.288,1940.312,4348.078,2277.589,969.516,3827.676
34.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,219108.27,242266.27,19513.363,910.861,15818.929,57650.8,9236.754,4040.768,5142.791,1661.181,1370.803,613.562,19642.096,3851.159,1611.49,653.796,4430.794,222518.4,241929.16,16122.063,807.899,12200.033,59368.58,8296.127,3899.646,5529.996,1483.321,4611.732,2381.48,652.983,4539.682
39.nii_SR_trainedwithnoise_3D_orig_T2_new_fcut_2.nii,259023.69,279323.62,11749.703,307.074,19936.684,64708.188,10012.546,4507.809,5902.71,1622.106,1020.895,1677.827,26607.102,4097.89,2180.374,851.464,5291.949,255728.9,273126.3,11104.99,491.276,18156.3,64880.117,8567.208,4231.76,6897.388,1927.59,4300.164,2142.988,905.928,5042.73
