,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,171870.36,194728.42,17966.111,1087.941,13214.775,49261.285,6715.737,2514.068,2289.295,995.693,778.723,1472.046,16840.367,2808.941,572.053,455.986,2853.574,182013.1,206004.98,15056.847,571.15,10848.896,46443.766,4053.137,2303.126,2783.089,552.257,2732.742,862.179,456.966,2713.86
03.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,230123.22,246433.4,13022.824,626.511,12017.854,58542.367,9568.17,4252.942,4077.12,1634.289,1620.066,696.607,18040.809,2998.07,1549.707,687.723,3575.302,221746.16,236974.89,13663.142,1233.151,9833.938,44160.105,6984.966,3938.463,5177.278,1261.284,2970.344,1476.027,728.966,4355.391
05.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,211880.2,231111.44,20003.67,1099.583,6976.886,45899.543,7080.483,3004.334,3627.068,1405.466,1754.998,573.122,18220.64,2980.772,1103.361,574.786,3240.238,207921.47,221260.12,19958.537,1758.13,7334.457,33753.24,6914.044,2544.612,4734.587,1254.428,3398.542,1392.364,601.384,2978.34
12.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,206603.72,237743.69,6115.984,238.254,14265.104,59406.914,8446.533,4183.063,4505.109,1477.7,560.522,927.397,21158.207,3548.516,1329.044,730.159,4038.616,208754.34,235019.39,6678.772,545.408,13438.488,56146.836,7469.512,4046.354,5068.798,1415.145,3546.748,1492.502,730.025,3808.946
13.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,204527.39,236189.44,4775.898,247.159,13773.92,57046.086,6211.446,3673.134,4577.967,1750.315,431.279,760.563,18946.092,3115.695,1603.86,786.058,3558.645,194486.39,221674.11,4021.603,279.148,13385.208,55473.83,5417.012,3428.076,5249.588,1624.472,3304.04,1439.947,618.271,3488.808
17.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,281712.88,298827.72,19354.408,317.732,8410.239,29150.043,11524.55,4280.668,4882.4,1861.92,948.509,100.713,10927.172,3954.984,1590.781,773.712,4560.796,265650.88,297828.94,22392.021,479.928,5356.756,23935.219,9207.621,3617.788,5762.431,1340.533,3839.934,1718.668,693.372,4862.912
18.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,211559.38,235959.42,14227.181,369.762,13835.457,56914.156,10149.841,4326.044,5489.928,1918.112,863.713,1334.02,22081.89,3768.442,1896.704,817.26,3854.076,207980.52,226519.1,10533.925,531.982,13309.406,52364.336,8042.58,3919.562,5663.098,1668.302,4205.184,1724.455,791.335,4097.725
19.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,264586.78,284349.44,7876.43,529.944,17996.084,64695.59,9874.524,4023.833,4808.232,2097.588,881.506,1118.96,24539.674,4280.898,2284.422,898.812,4254.123,258830.9,275353.25,7574.014,781.897,16412.137,61897.152,8844.935,3453.912,5730.0,1762.05,4560.386,2631.982,995.819,4301.942
21.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,259464.1,308102.8,4867.804,398.965,12188.602,53199.44,8584.053,3991.628,5510.362,1802.661,750.563,274.982,16527.176,4198.694,2199.338,808.033,3871.996,254240.44,293972.72,7401.774,443.932,10031.647,54387.99,8242.207,4078.642,6168.42,1995.152,4370.48,1973.97,885.397,3650.938
34.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,215718.08,247002.89,13679.247,772.086,13728.039,54763.9,9867.415,4116.595,4259.376,1661.706,971.393,501.078,17773.805,3525.739,1531.315,749.511,4211.561,216945.19,242055.72,12183.715,914.923,14412.376,57580.133,8173.69,3549.732,5245.288,1584.968,4327.607,1821.972,739.558,4321.548
39.nii_SR_trainedwithnoise_3D_orig_1e2GAN_T2_new_cycle_4.nii,255504.0,278450.12,8611.808,299.195,18111.334,63018.055,10311.435,4428.573,5757.431,1988.708,901.971,1308.167,25815.273,3660.561,1919.36,877.927,4769.824,253456.7,271365.03,8883.346,444.414,15510.998,59680.16,8359.375,3945.044,6314.114,1848.072,4306.267,2153.14,873.395,4907.093
