,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,247849.56,237217.95,19786.834,661.187,17753.873,52299.785,6846.124,3232.039,2917.56,1322.338,1166.179,3237.312,19395.578,3946.232,1097.31,196.836,3934.197,244403.6,225632.1,7883.713,707.929,13585.696,49996.414,5643.054,269.132,1552.662,170.806,4243.062,1080.005,25.899,3390.675
03.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,232468.22,238347.95,24422.344,583.565,2737.824,30596.807,7475.496,3674.406,3508.466,1584.726,2207.049,6.011,10876.537,4791.81,1312.213,578.36,3813.872,214164.45,237179.53,22129.227,319.831,286.045,3259.118,6400.226,3504.592,4186.327,1217.985,4844.422,1500.476,616.437,4067.97
05.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,210493.2,227331.42,29301.207,1613.787,6917.27,39294.312,5608.721,2973.824,3182.776,1322.33,2658.556,877.737,19574.39,3860.052,746.99,309.158,3309.661,195785.06,212977.84,28140.23,1525.474,8308.342,35598.11,5417.702,2586.946,3908.493,711.693,4214.38,1047.828,406.912,2963.638
12.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,203343.19,216235.64,10026.835,274.437,12173.577,48081.184,7573.202,3262.203,3130.15,1388.615,530.412,1674.128,20242.777,3634.967,1345.444,534.223,4477.723,195648.36,216116.44,10103.354,523.798,11686.622,42372.758,7188.216,3520.474,4226.085,1511.991,4153.752,1632.268,511.569,4259.095
13.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,186903.53,214969.83,6953.51,319.298,12127.078,43338.99,9058.719,3070.032,3434.96,1219.018,670.335,1918.887,17756.586,3142.998,1158.564,492.304,3471.65,177494.11,210216.75,5325.349,406.982,11249.29,39504.492,6766.053,3700.848,4969.716,1296.628,3413.219,1406.194,792.463,3239.43
17.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,281714.5,276982.44,32564.83,551.203,10842.323,31139.55,8037.336,3825.536,3537.384,1722.863,1883.911,467.797,15227.91,4160.742,1484.746,554.912,3998.291,270059.4,286816.97,32420.678,926.134,6341.476,22597.03,7442.33,3490.593,4249.596,1372.64,3661.717,1207.295,318.654,3558.2
18.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,222281.48,229877.81,23178.693,306.75,14873.476,47085.195,7663.144,3950.035,4576.454,2015.493,915.692,2204.677,19903.217,3561.593,1664.096,557.244,3896.814,205250.8,214938.66,19323.898,368.546,12200.428,45695.51,6431.526,4117.274,4645.435,1950.097,3330.233,1418.225,513.323,3730.926
19.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,262749.84,262641.8,11677.255,419.946,13102.905,50956.973,10337.282,3882.526,4293.491,1924.718,1647.436,1555.961,19277.89,3882.75,1773.462,667.136,4016.448,244350.36,255468.22,12170.486,855.83,13127.399,51759.016,8262.081,3694.307,4932.872,2046.354,4971.608,2350.93,648.255,4299.081
21.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,256456.6,287429.9,6023.922,501.92,8194.035,45827.742,8018.264,3162.86,5154.302,1846.471,802.039,391.585,12275.658,4672.837,1956.696,684.041,4160.743,243385.53,268741.34,11218.277,430.253,6890.882,47937.49,7654.565,3810.333,4219.54,1664.894,3489.08,1623.058,639.612,3505.84
34.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,218808.67,238286.2,23349.137,738.497,11971.182,52205.055,8489.867,3561.464,3533.508,1450.488,1360.242,698.347,16638.775,3881.38,1488.56,467.647,4110.093,213118.75,229781.1,22828.285,694.446,11138.387,56539.312,7534.678,3708.672,4604.873,1502.158,4097.35,1498.069,543.49,4138.146
39.nii_3D_SR_T1_noVGG_1mmaffine_128patch_newbiasdataaugm_L11_denois_semifreeze_fcut_2.nii,261577.56,263164.84,13284.245,367.084,13534.177,49226.49,9504.778,4432.438,4595.372,1534.187,861.626,2800.479,23011.32,3858.047,1651.305,724.05,4503.679,248463.98,257181.58,13303.97,347.461,16088.983,47952.098,8653.71,4300.026,5815.25,1816.326,3860.818,1605.742,743.156,4260.311
