,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,178087.1,205307.94,19712.252,715.598,15096.377,55530.97,6180.073,2454.12,2482.478,997.696,1156.435,1586.35,17685.674,3442.51,1015.31,294.422,3224.568,180857.44,203760.78,23135.584,922.08,11175.222,48275.42,4220.258,1861.938,2463.514,480.608,3623.976,1713.366,233.441,3203.022
03.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,223935.7,234355.92,21291.787,1233.68,7290.466,38446.49,6763.071,4001.25,4062.541,1402.665,2171.728,16.344,11760.691,3310.057,1497.084,755.466,3650.017,222394.08,236125.36,16208.979,1016.464,5979.969,33711.54,6129.477,4163.0,5053.325,1228.685,3772.099,1569.251,621.226,3880.949
05.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,213801.33,238728.34,24019.12,1568.142,5000.827,42170.49,6803.238,3018.629,3834.99,1445.785,2199.072,352.529,15624.856,2943.712,968.998,637.936,3133.745,212470.67,229542.3,20217.828,1329.884,4836.85,25346.154,6678.585,2551.442,4191.031,871.939,3761.998,1198.802,457.535,3223.546
12.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,210102.4,238892.23,6858.016,249.179,14267.729,66823.15,6584.083,4467.295,5192.156,1825.371,466.362,847.656,22437.676,4092.982,1889.823,872.627,4353.426,210678.25,238596.55,7273.592,348.971,13890.372,61967.652,6628.812,4589.704,5477.574,1336.287,4399.145,1784.338,807.129,4146.161
13.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,207357.97,223021.81,5562.675,275.575,17134.0,57322.207,7369.066,3751.034,5241.702,1653.821,476.123,1739.932,18761.723,3670.344,1814.046,903.538,3400.021,201504.81,214506.86,4966.97,312.892,15758.016,53072.656,5791.643,3814.162,5486.222,1558.528,3811.856,1956.092,729.628,3237.954
17.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,284412.06,307531.38,25524.37,504.425,6993.808,30245.512,9928.396,3535.602,5634.612,2192.072,1011.423,2.657,8819.114,4165.954,1759.778,771.192,4352.6,280453.88,307499.44,24296.025,730.521,1254.132,23348.012,7984.702,3708.382,5878.834,1595.586,4245.821,1292.827,774.641,3984.101
18.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,214901.06,244606.86,17956.25,360.078,15683.479,65302.61,8525.564,4598.612,5934.249,1966.109,851.136,1533.004,23117.934,4336.052,1899.361,658.25,3912.042,209334.86,233544.0,11849.679,558.036,14125.722,62296.066,7110.397,4981.211,5891.764,1904.85,4341.475,1990.294,903.905,3914.24
19.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,269780.22,285942.66,9142.106,390.957,18086.451,66192.945,9441.951,4566.694,5859.552,2047.674,844.424,1070.904,22077.61,4458.623,2236.956,885.363,4110.68,260477.75,280035.25,9973.944,640.731,16866.338,65516.984,8116.032,4522.522,6253.704,2271.144,5354.898,2681.938,1095.461,4185.712
21.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,261162.0,316910.2,5804.092,340.02,10227.886,51407.48,7857.106,4077.206,6263.173,1995.944,952.417,201.128,16339.532,4278.12,2362.554,969.448,3819.698,258565.94,304418.3,8973.815,426.079,9688.378,55600.613,7440.118,4460.794,6159.284,1853.796,4373.332,2336.404,954.016,3641.157
34.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,215059.64,240301.58,19294.307,761.91,16721.07,59134.93,8822.224,3810.301,5116.191,1480.77,1189.624,776.073,17182.129,3684.218,1540.844,643.569,4083.375,217555.83,242782.61,15499.648,798.07,13368.508,64449.39,8353.701,3949.43,5504.968,1657.821,5003.274,2328.464,677.747,4149.007
39.nii_SR_trainedwithnoise_3D_orig_1e4GAN_T2_new_fcut_2.nii,254681.5,280656.6,13011.937,291.034,18982.707,62146.195,9235.615,4207.662,5856.667,1616.941,1030.297,2016.55,24155.014,3998.905,2084.026,871.552,4886.236,251244.73,275991.75,11857.024,555.909,16836.334,64473.977,8057.112,4617.984,6509.127,1790.069,4566.552,2423.227,946.057,5070.978
