,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,173082.2,193821.27,19509.48,1254.691,14085.194,47825.41,6188.824,2565.848,2180.581,959.127,818.201,1539.042,17466.95,2270.428,746.757,469.387,2514.672,181816.27,202705.7,14048.812,770.102,11760.552,44843.234,4003.297,2310.21,2483.872,607.033,3041.884,1141.277,272.264,2687.592
03.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,223637.11,242395.38,15122.268,1039.543,4772.319,43713.652,9075.912,4304.565,3909.059,1457.49,1650.424,0.761,9553.597,2959.804,1178.158,618.391,3735.508,212317.62,235409.5,13766.57,1372.034,4485.866,36225.215,7437.581,3742.599,4616.412,1122.315,2834.017,1330.376,654.666,4364.247
05.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,212936.02,229623.23,22104.59,1274.449,6825.976,35466.598,6937.736,3123.758,3146.528,1285.56,1547.602,194.38,13012.089,2937.518,1113.49,582.905,3398.758,210790.08,222811.6,20743.65,1159.184,3218.16,24780.676,7221.433,2488.46,4438.982,1181.844,3155.15,952.703,579.35,3113.211
12.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,204340.98,232045.1,6293.296,235.805,13552.792,58098.797,8379.44,4200.387,4214.096,1476.633,518.288,985.755,20745.096,3486.198,1574.786,744.101,3812.751,206825.39,231834.9,6852.148,481.679,13107.323,53520.477,7100.61,4022.19,4925.306,1286.723,3601.194,1552.599,687.221,3866.255
13.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,196257.31,225884.25,4921.986,223.365,14166.645,56407.23,6636.92,3437.419,4009.53,1406.534,534.207,1166.554,20986.86,3233.13,1643.315,747.962,3485.871,191245.84,218559.61,4187.965,306.621,12992.465,50077.59,5318.536,3185.672,4769.02,1353.75,2926.836,1448.995,594.52,3633.941
17.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,280363.7,292412.97,20814.307,273.634,6801.911,28257.596,10481.451,4279.972,4674.136,1821.762,829.869,0.923,8403.44,3850.451,1390.22,750.102,4622.126,271981.16,296674.1,20717.084,244.16,1773.334,14678.077,8169.32,3636.752,5367.469,1226.898,3304.329,1462.758,723.789,4290.449
18.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,212758.38,231969.55,15323.562,365.552,13022.436,52656.3,9201.633,4010.683,4727.197,1691.317,923.447,1576.887,21252.482,3644.242,1829.012,599.16,3986.491,208913.6,222309.75,11578.604,478.994,13453.112,49295.383,7167.75,3929.936,4706.198,1563.284,3936.074,1733.625,695.507,3984.92
19.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,262996.0,280153.22,7580.064,523.099,17242.668,63454.254,9327.089,3830.832,4816.596,2016.228,956.127,948.162,24393.201,3947.85,2209.184,887.505,4590.45,257623.58,270354.12,7802.298,715.921,15668.936,60820.96,8271.684,3442.691,5308.166,1963.517,4513.211,2563.114,825.879,4406.659
21.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,257258.14,299259.84,4784.35,320.968,12640.719,57966.207,8423.878,3654.461,4989.16,1647.193,960.457,427.994,17004.309,4238.804,2060.816,789.606,4078.608,254734.88,289119.5,7924.591,463.297,11504.968,52949.586,7599.126,3952.09,5516.276,1967.681,4129.56,1882.405,756.935,4073.618
34.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,214298.47,241881.89,15220.576,731.185,12089.161,55603.766,9798.572,3733.517,3679.033,1294.425,1123.817,432.696,13624.483,3167.344,1422.092,603.531,4287.336,216229.7,241546.12,13266.335,754.091,10825.01,57143.7,7760.889,3332.626,4618.734,1674.239,4163.785,1624.527,587.239,4669.68
39.nii_SR_trainedwithnoise_3D_newdataaug_T2_new_cycle_4.nii,254454.73,272832.6,9105.046,279.764,17229.283,60670.965,10081.09,4278.128,5426.13,1917.088,928.892,1306.871,25054.28,3775.749,1677.684,829.752,4847.614,253265.42,265802.2,9531.663,414.673,16077.552,54450.504,8033.622,4021.466,6106.75,1699.749,4137.681,2036.436,798.385,4894.731
