,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,172687.3,193355.3,19694.465,888.69,14431.976,50212.13,5881.784,2659.841,2350.238,1121.664,939.063,1650.478,17784.115,2973.5,778.253,436.563,2865.01,172814.89,202942.03,17424.293,966.81,11668.261,44380.58,4600.273,2191.569,2564.895,590.822,3129.93,944.194,236.731,2998.074
03.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,225671.9,243452.17,15762.275,1020.952,8205.02,38453.504,8849.99,4365.83,4274.844,1499.08,1873.345,35.361,14679.506,3073.846,1598.127,755.463,3592.744,217152.55,231718.0,14508.746,1435.339,6732.38,38515.3,6838.051,3985.367,5038.434,1176.9,3253.426,1698.803,709.668,4539.943
05.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,211910.56,225919.7,21970.355,1288.331,11103.671,50483.31,6071.335,2942.974,3642.708,1205.101,1594.649,663.203,19787.008,3184.518,1264.066,561.665,3662.564,208232.47,214929.9,20216.008,1667.108,9649.108,38559.414,6702.156,2117.958,4606.853,1171.745,3455.31,1361.55,569.415,3375.77
12.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,204310.92,233478.1,6642.019,267.981,14016.372,59228.27,8362.428,4564.256,4702.862,1464.41,469.983,925.52,22082.951,3869.445,1587.178,811.305,4102.814,204860.78,231977.8,6778.766,566.63,13234.434,56144.574,6970.328,4313.704,5392.967,1496.272,3932.365,1733.606,719.43,3900.9
13.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,197601.19,229120.39,4342.312,263.104,15834.254,59311.133,6630.36,3483.512,4389.12,1502.148,671.162,1362.29,20533.416,3635.275,1372.434,946.639,4184.965,192492.81,217742.03,3831.596,386.385,14692.983,52974.727,5371.206,3313.198,4971.768,1371.096,3420.482,1698.435,659.904,4284.332
17.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,276566.34,292581.12,23277.816,396.489,10209.635,34170.184,9880.143,4286.514,5266.962,2467.177,948.938,199.349,12340.693,4103.276,1378.043,880.065,4505.844,266012.06,293474.5,23421.826,360.577,5285.652,23652.496,8837.063,3607.349,5671.692,1392.153,3650.463,1835.808,724.7,4654.531
18.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,213932.4,235390.48,15675.816,407.72,14429.742,55451.76,8927.353,4456.836,5107.669,1895.802,936.681,1655.874,21824.908,3872.402,1882.44,785.255,4264.198,206279.1,223438.98,11388.843,532.035,13849.821,52670.355,7293.682,3984.718,5304.706,1795.285,4286.762,1864.436,804.937,4102.404
19.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,264962.2,283418.7,7786.184,639.455,17006.773,65225.227,9877.756,4227.306,5424.302,2015.793,919.456,952.239,25313.605,4444.66,2543.543,983.821,4592.068,255552.23,272373.28,7716.095,716.662,16770.564,61896.133,8132.698,3693.232,5574.252,2049.79,4916.195,2751.143,944.203,4698.142
21.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,257575.36,301942.88,5858.638,359.206,12410.792,49826.44,8378.673,4025.66,5421.95,1428.96,950.646,354.684,19067.752,4502.878,2137.141,739.167,4176.279,250637.88,290257.4,8100.618,490.164,10564.309,52697.152,7727.706,4144.608,5905.108,1959.17,4278.97,2071.616,843.43,4118.401
34.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,212844.0,245198.97,16458.72,970.406,13685.984,54011.273,9016.757,4194.636,4438.781,1628.993,1228.326,502.089,17256.6,3355.215,1477.3,639.357,4536.089,212888.34,238633.17,13691.511,977.563,13522.163,60434.99,7861.054,3579.786,4861.025,1836.716,4306.99,1948.29,639.318,4666.382
39.nii_SR_nonoise_3D_orig_1e4GAN_T2_denois_cycle_4.nii,253307.06,273758.34,9157.608,335.322,17194.877,63539.133,9982.484,4553.12,5931.642,1958.542,919.658,1395.6,25303.176,4158.507,1854.002,859.566,5161.742,249693.89,265624.78,9758.256,492.2,15401.033,58245.973,8060.862,4242.064,6355.979,1860.778,4412.665,2155.101,826.575,5114.192
