,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,245858.67,243032.69,22490.049,779.336,17706.94,53889.887,6900.179,3539.894,2806.692,1381.361,752.626,2600.689,20303.648,4038.172,1227.396,393.538,3972.943,242136.42,233142.4,8120.706,570.672,13146.359,46451.49,4845.82,1237.03,1803.191,737.485,3835.35,1261.53,343.193,3234.306
03.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,234882.86,245139.27,20949.377,589.019,35.832,12.141,7140.482,3783.104,3646.98,1661.19,1895.921,0.0,8946.338,4335.34,1422.08,623.763,3833.564,218160.95,239746.53,21733.34,174.41,0.0,8.685,6060.353,3839.098,4274.469,1331.22,3433.398,1428.254,612.363,3790.046
05.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,217675.34,230766.73,26305.395,943.342,378.231,15975.579,5272.172,2881.36,3182.966,1210.401,1822.524,45.684,12404.928,3566.496,607.913,249.362,2778.23,206040.98,216846.6,25598.865,1463.091,1444.074,20465.49,5686.382,3145.54,4477.252,965.862,4167.647,1162.542,479.085,2808.927
12.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,207851.17,220921.39,9906.159,216.763,13445.329,48985.746,7149.232,3455.787,3446.596,1458.423,538.626,1660.287,21053.156,3709.68,1537.686,615.072,4232.884,203463.16,220288.34,10016.909,554.039,12108.92,42191.11,6536.986,3719.584,4196.574,1477.16,4192.06,1593.396,532.824,4065.656
13.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,190118.5,207191.3,6144.622,418.16,11835.665,42290.6,7876.55,2883.135,2885.999,1369.599,640.719,1577.36,17494.244,3127.289,1090.169,452.105,3785.736,182213.77,210614.02,5095.482,315.07,12015.69,37184.902,6350.554,3181.624,4049.429,1209.668,3279.746,1072.834,706.647,3244.466
17.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,287083.62,281316.3,32397.043,332.123,1602.015,17755.783,8245.15,4341.702,3277.006,1413.21,1307.332,5.185,9722.614,3606.741,1331.457,548.957,3853.003,278475.75,286391.8,33053.12,551.912,1068.999,14010.291,6732.234,3670.266,4471.314,1356.819,3729.284,1001.657,394.94,3087.712
18.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,227802.16,231697.81,22003.832,317.741,15533.324,47129.91,7306.013,4216.507,4623.984,2054.819,927.559,1675.724,20985.441,3866.39,1845.387,523.171,3988.759,209047.81,219591.44,17990.793,397.951,13354.858,46075.375,5954.453,4023.134,4555.807,1983.375,3761.124,1611.836,526.539,3547.465
19.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,268843.75,269050.72,10375.22,284.878,14442.034,48954.0,9815.395,4018.859,4458.219,1893.133,1923.05,1801.207,20190.701,4133.871,1887.956,726.728,4278.812,251021.6,265057.7,11836.916,876.75,13456.704,50415.89,7384.43,3652.876,4988.485,1925.116,5054.866,2258.017,662.518,4620.104
21.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,261349.89,288585.9,6143.186,384.277,9169.136,45749.31,8498.09,3044.818,4697.926,1701.542,811.71,283.893,13198.758,5156.69,1986.281,678.976,4572.187,247930.92,272174.8,11097.838,492.017,7987.461,41607.43,7169.735,3729.033,4255.698,1517.477,3646.884,2123.773,551.78,3661.233
34.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,225395.25,241588.1,22926.986,712.168,10344.412,47323.727,8277.718,3751.578,3404.325,1687.022,1546.417,282.126,15005.205,3979.936,1030.429,261.377,4031.088,223149.97,235609.05,22614.705,538.548,6960.68,39000.277,6691.886,3778.567,4099.161,1413.951,4194.398,1621.102,539.01,4000.913
39.nii_SR_trainedwithnoise_3D_orig_1e4GAN_fcut_2.nii,267506.4,265701.56,12377.254,402.16,14629.297,47927.707,9923.239,4557.896,4187.886,1411.852,860.871,1845.778,23458.828,3987.512,1647.692,756.763,4817.544,256504.11,265304.25,13797.669,271.508,16564.443,46110.777,8444.269,4300.592,5278.803,1725.688,4058.562,1726.527,689.188,4383.556
