,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,179022.27,201966.19,18781.195,1712.647,13948.142,58205.758,7189.884,2103.771,2405.498,859.52,1053.485,1292.056,17740.56,2960.688,762.049,346.85,3308.427,180478.69,203441.53,20387.13,938.485,10572.791,46420.605,5238.836,2073.114,2203.92,286.13,3610.806,1447.033,257.899,2987.378
03.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,224008.86,238275.9,19111.158,1890.578,13524.484,56087.35,8074.303,4305.537,4325.768,1635.087,2127.455,573.023,18985.193,3487.5,1465.329,810.154,4099.036,217515.42,235312.39,15273.704,1258.63,10492.82,45191.113,6910.408,4169.446,5258.696,1424.846,3762.63,1800.433,735.319,4131.231
05.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,210796.47,235786.75,23665.443,1447.023,8450.372,46552.008,6372.802,3165.097,3498.79,1242.389,2134.276,508.693,19040.066,3260.214,941.678,639.515,3442.058,211943.8,223902.05,20706.086,1536.158,8501.318,39329.246,6306.892,2657.058,4355.543,951.568,3753.297,1384.227,637.129,3281.637
12.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,209313.53,239448.03,7205.086,308.587,15469.806,68762.125,7044.583,4449.858,4504.024,1641.27,565.139,679.547,22019.06,4075.745,1997.152,882.238,4170.92,210749.4,236702.67,7100.858,433.115,13468.973,60085.55,6552.948,4296.139,5326.3,1501.025,4022.392,1911.428,837.548,3981.88
13.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,205922.47,227336.44,4857.505,251.915,17053.135,60047.695,7492.667,3694.127,4685.196,1687.564,528.154,1379.368,20552.127,3591.912,1865.56,914.843,3692.332,198678.48,217440.3,4110.548,350.125,14992.48,53864.51,6784.752,3575.605,5526.91,1660.91,3763.004,1873.017,825.972,3416.074
17.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,281647.62,300538.44,24845.361,608.438,11368.169,31602.078,10000.862,4033.211,5342.644,1986.257,1127.064,181.738,16218.639,4534.399,1788.246,745.215,4654.708,283769.12,302029.44,23884.2,814.952,6655.636,30137.623,7844.806,3872.833,6120.822,1884.449,4807.812,2461.145,774.216,4718.71
18.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,213444.58,241235.17,18000.148,335.917,15286.262,66295.914,8668.93,4509.249,5402.284,2034.988,872.851,1420.626,23522.25,4376.182,1958.301,684.192,4340.172,208906.77,231887.33,11659.986,589.838,13831.381,58733.816,6831.593,4920.607,5505.981,1678.118,4195.184,1840.554,836.434,4049.786
19.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,268851.62,283553.12,9054.9,293.149,18530.207,66767.35,9566.596,4709.052,5363.116,1919.142,886.42,907.725,22312.355,4735.768,2283.154,880.216,4475.529,261923.08,276314.28,9644.96,605.412,16252.251,66596.68,8557.445,4563.724,5786.791,1864.801,5189.511,2675.557,1049.616,4480.114
21.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,263430.84,308330.97,4252.018,333.45,12809.42,62998.844,7989.564,3728.549,5851.39,1872.836,986.154,306.54,18049.826,4535.339,2444.756,882.821,4076.571,258358.03,298407.2,8797.869,584.737,11524.94,57537.734,7265.496,4287.83,6288.549,2054.052,4501.554,2329.9,1025.555,4021.972
34.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,211973.81,235944.64,18894.328,649.004,14417.089,63278.246,9406.272,3910.955,4506.719,1687.084,1303.598,442.034,17315.283,3846.753,1601.595,690.086,4506.528,216467.45,242343.88,15229.513,830.711,10536.109,64958.8,7860.336,4054.292,5479.866,1342.464,4628.452,2234.232,744.106,4550.488
39.nii_SR_trainedwithnoise_3D_orig_1e2GAN_newdataaugm_T2_new_fcut_2.nii,255280.36,278175.53,12259.401,276.381,18824.207,64798.76,9717.235,4281.252,5645.42,1853.828,1005.033,1219.556,25627.887,4061.024,2111.44,870.119,5310.722,252920.8,272460.12,10999.566,554.463,17231.637,66258.74,7936.633,4359.328,6679.339,2001.475,4581.02,2255.18,997.588,4954.236
