,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,179571.61,209639.11,18971.889,747.127,15929.177,55772.098,6837.598,2051.37,2444.251,992.951,826.289,1422.753,18372.994,3610.0,822.176,314.856,2960.797,181220.62,203408.55,18006.36,643.378,10884.168,47473.94,4537.884,2174.81,2303.054,340.59,3733.416,1548.347,307.447,2646.33
03.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,220054.14,241452.47,17818.09,1266.252,9870.475,47951.684,7809.454,4194.354,4462.91,1893.381,2012.63,9.017,11846.049,3995.941,1627.055,766.514,4440.339,217248.98,236392.92,14760.275,1271.358,5962.466,39903.086,6929.726,3810.55,4789.534,936.623,4101.564,1690.732,680.119,4363.62
05.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,211922.52,238027.89,23685.254,1548.352,885.816,18129.139,6676.12,3285.475,3871.494,1545.2,2084.103,57.978,13186.763,3379.392,1114.921,555.321,3633.258,207754.2,227578.02,20781.123,1340.849,4602.006,37362.51,6392.95,2457.533,4059.629,1208.422,3694.45,1359.457,501.74,3258.568
12.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,209975.98,238143.75,6092.214,273.915,15741.808,67959.02,7389.219,4507.827,4584.882,1580.994,464.016,718.387,21945.412,3720.693,1888.628,874.284,4035.879,209802.06,237866.86,6985.212,364.417,14131.123,60927.42,6652.514,3889.601,5645.414,1496.81,3859.951,1791.307,861.064,3976.139
13.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,207480.72,227901.7,4590.871,254.112,16848.613,57904.16,7499.779,3762.527,5043.106,1652.556,470.271,1333.165,19508.414,3499.801,1650.57,939.152,3428.418,199807.7,217005.73,4191.478,368.676,14440.726,51785.09,6039.65,3497.249,5639.126,1581.022,3689.162,1735.04,877.441,3419.213
17.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,281213.06,306582.34,23813.162,291.656,2742.531,29830.37,10712.345,4328.946,6039.432,2425.32,842.426,0.0,3386.115,3777.782,1666.302,805.59,5011.894,281090.16,309230.4,23042.812,442.518,0.975,741.593,7857.36,3631.095,6642.494,1815.669,3406.084,493.094,689.613,3370.546
18.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,211917.31,240496.81,17583.582,374.87,15687.865,63536.676,8171.638,4816.489,5545.71,2145.237,844.048,1176.133,20010.646,3968.675,1651.422,636.418,4015.804,207688.36,230059.58,12409.201,541.538,12848.396,58064.902,6828.374,4789.562,5575.715,1618.211,4032.964,1869.367,860.432,3755.969
19.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,267815.84,286396.22,8041.528,488.263,18583.62,68974.64,9172.128,4805.605,5691.024,1939.697,857.475,635.432,22864.129,4919.864,2575.927,881.093,4618.62,260430.62,276403.56,9284.789,601.172,16639.69,65141.543,7838.888,3969.277,6076.838,1883.292,5235.822,2734.376,943.492,4463.542
21.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,264990.8,310737.3,4415.423,360.611,11648.332,56351.03,7789.326,3921.084,5767.084,1928.162,904.973,243.432,14224.579,4377.568,2473.277,910.847,3926.6,259050.08,297009.9,7987.108,455.644,9197.882,49819.117,7368.433,4240.046,6537.028,2051.919,4389.201,2175.822,930.435,3645.18
34.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,215070.03,241593.66,17933.44,640.35,14648.463,60251.473,9250.009,4145.008,5212.144,1823.0,1238.606,605.643,15495.329,3813.965,1663.581,679.386,4342.404,216209.66,242075.08,15175.094,788.802,12795.773,60055.285,7245.132,3338.202,5742.108,1637.213,4772.996,2176.633,710.273,4822.875
39.nii_SR_nonoise_3D_orig_newdataaugm_T2_1e3GAN_denois_fcut_2.nii,253103.12,275800.25,11377.992,260.46,18871.803,64186.664,10054.811,4654.118,6232.888,1756.154,928.494,1232.345,24958.256,3906.588,2029.591,809.914,5076.633,253529.14,274678.78,11170.24,488.252,16335.926,64967.414,7358.344,3927.993,6901.602,2132.897,4448.846,2457.481,937.743,4885.879
