,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,240077.64,240429.28,20445.719,766.772,17931.584,55181.246,7009.514,3404.028,2949.68,1374.677,627.554,2103.844,18553.883,4510.126,1366.312,261.453,3429.544,236422.95,235259.78,7673.002,628.972,14109.155,48555.574,4933.86,495.469,1920.183,347.296,3848.08,1085.264,38.344,2922.412
03.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,233154.6,247355.39,22441.592,590.528,17.02,2926.526,7367.79,4066.86,3758.383,1574.549,2156.64,0.0,9011.508,4473.726,1386.052,487.668,3725.54,217988.08,241199.38,21521.043,318.381,1.366,157.293,6336.298,3807.719,4180.666,1256.1,3908.082,1270.556,587.053,3605.954
05.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,216319.73,231095.27,24514.828,1399.938,2080.873,26189.162,5163.499,2580.08,3629.42,1198.094,1537.613,413.475,16960.74,3559.528,784.401,205.258,3016.25,204258.64,218416.75,25037.832,2169.34,2881.912,31707.182,5194.618,2873.169,4162.527,1056.295,3579.999,903.484,538.415,2927.535
12.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,206079.78,223200.25,9265.209,164.874,13937.393,50519.586,7628.462,3422.875,3498.995,1378.101,542.208,1642.72,20317.344,3773.726,1302.314,546.291,3953.392,201918.5,222200.48,9727.375,575.368,12192.631,43561.758,6619.044,3621.402,4629.192,1514.228,3900.35,1521.822,546.813,4000.609
13.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,191968.92,216797.44,6578.051,259.834,14096.909,44125.246,8299.206,3054.199,3037.486,1521.328,675.564,1390.571,18497.635,3118.893,985.474,466.36,3642.562,183996.1,214810.7,5286.896,447.584,12959.744,40208.875,7088.062,3228.3,4874.992,1298.306,3552.851,1461.714,770.936,3157.956
17.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,286490.94,280711.03,30944.406,563.108,7278.054,25804.496,8199.925,4371.888,3758.411,1671.183,1636.612,537.878,13827.833,4219.044,1502.801,546.77,3840.19,279776.78,287891.03,31171.068,736.546,4662.278,20862.365,6738.279,3679.192,4748.491,1582.664,3473.003,1296.765,379.647,3280.234
18.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,224141.73,234123.25,19183.72,178.942,14652.827,49105.28,7243.182,4205.32,4597.035,2011.216,857.331,1491.182,19897.254,3643.27,1659.928,511.604,3793.111,208338.45,221926.88,18150.941,311.784,12947.624,45629.05,6321.889,3957.804,5164.898,1900.201,3569.838,1629.0,562.394,3674.52
19.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,263749.62,270963.44,9735.618,328.013,14984.805,53298.28,10334.694,3974.677,4552.62,1740.423,1984.764,1243.464,19766.611,3919.658,1796.438,750.583,4103.692,250375.72,263509.12,11454.042,1011.072,14389.981,53141.3,7709.798,3633.865,5218.712,1842.095,5036.544,2335.93,619.924,4325.908
21.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,257697.66,290245.47,6745.707,509.353,8886.689,49103.207,8483.999,2988.396,4711.524,1724.98,889.463,222.661,13442.047,4700.706,1976.539,598.418,4359.672,247688.44,274994.56,12040.837,404.806,7484.911,49833.95,7062.064,3722.35,4667.339,1568.805,3453.245,2073.283,571.234,3257.702
34.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,220795.5,238400.02,22172.07,650.867,11765.244,51785.4,8648.924,3508.392,3021.996,1816.016,1500.304,854.349,18736.195,3662.382,1373.078,329.288,4140.456,219606.64,235349.3,21412.025,769.398,11181.934,59636.457,6837.269,3607.43,4890.448,1590.502,4198.495,1772.473,475.018,3807.172
39.nii_SR_trainedwithnoise_3D_orig_fcut_2.nii,262343.3,266797.12,12415.916,312.2,15496.622,50922.79,9249.023,4352.364,4479.365,1786.999,834.713,1253.871,23722.217,3695.972,1656.202,696.344,4719.904,256459.11,264510.4,12442.398,251.697,16801.05,48022.773,8634.614,4214.449,6017.884,1896.708,4030.97,1703.436,690.154,4202.148
