,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,240945.33,248887.03,15419.383,837.637,15701.131,55660.324,5090.0,1747.532,1539.132,749.067,2.068,875.962,14025.674,3055.02,809.541,4.935,2886.144,235901.98,229723.34,9954.057,441.708,8671.033,41834.832,2645.964,683.14,801.197,57.352,3278.448,557.193,149.798,1418.224
03.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,233009.98,243318.45,20109.21,576.146,1015.799,17618.457,7681.066,3943.504,3502.604,1200.495,1813.175,0.0,8940.775,4925.758,1274.524,497.184,3753.852,214927.92,245849.17,21895.537,126.871,109.604,1245.852,6117.156,3656.25,3287.059,599.393,2728.053,610.855,548.983,3806.398
05.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,208001.16,231646.88,27015.045,1301.884,115.561,9792.657,5762.1,2845.685,3146.982,1221.399,1705.48,0.0,9645.013,2893.945,607.691,187.56,3101.36,197793.33,216979.55,26711.725,1342.345,964.812,22527.113,5804.116,2761.166,3658.462,861.713,3549.88,794.677,410.094,2813.135
12.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,203865.31,221622.9,9073.417,108.127,12382.064,47648.12,6857.677,3311.156,3134.744,1424.831,469.004,1302.936,20999.953,3669.844,1243.346,528.449,3627.461,198372.45,220574.67,9806.054,475.556,11158.623,43857.254,5972.134,3415.113,4036.362,1363.89,4442.292,1217.242,498.878,3810.236
13.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,188785.97,213484.36,6076.588,320.545,12516.552,44594.402,7667.438,3221.143,2747.92,1409.138,603.822,1337.6,18247.46,3487.741,1016.215,449.185,3606.988,179307.66,211098.05,5477.27,558.675,11227.522,40404.414,5769.074,3247.835,4163.796,1095.91,3589.464,1138.393,705.406,3341.97
17.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,284062.44,283970.06,26729.377,514.073,5458.77,26565.744,9034.22,4764.052,3730.41,1356.916,877.508,6.748,10756.156,3970.384,1536.361,519.067,4007.738,280859.97,290001.97,26812.617,1025.134,3771.437,25584.756,6473.935,4265.4,4707.46,1321.459,3594.138,1364.862,426.663,3496.498
18.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,220778.6,229716.81,21162.807,232.263,13961.874,47125.87,7790.549,4518.456,4327.066,1800.917,809.732,1149.424,20928.223,3300.879,1440.818,571.36,3712.827,205853.34,222280.27,16697.643,340.408,11738.144,44688.535,5560.33,4330.91,4455.03,1746.854,3550.856,1472.506,543.152,3445.112
19.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,262645.53,269135.84,10320.319,253.943,14237.095,50738.63,10037.501,3713.055,3831.288,1632.576,1240.968,1336.101,19993.654,4159.326,1983.586,603.94,4125.883,246796.83,262194.2,12222.128,460.582,11933.019,49959.375,6944.748,3349.085,5076.044,2039.159,4992.66,2498.45,566.912,4256.459
21.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,253542.86,290623.3,7046.09,538.659,8489.592,43955.293,8643.539,2863.746,4486.238,1474.831,914.172,20.883,9857.2,5072.048,1803.227,592.264,4278.548,241633.33,274571.4,11299.319,239.347,4636.772,44693.035,7488.431,3510.387,4030.664,1395.69,3760.438,1729.684,606.84,3353.737
34.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,216510.88,238616.98,21959.268,632.088,8096.683,45844.656,8927.943,3454.115,2345.118,1504.547,1213.171,81.564,14627.565,3928.121,1042.272,373.815,3833.525,216932.9,237559.05,19645.623,489.734,4126.386,39833.754,6930.628,3645.501,3895.507,1335.253,4859.676,1472.775,385.468,3892.984
39.nii_SR_nonoise_3D_orig_1e3GANlr1e5_newdataaugm_denois_new_fcut_2.nii,256956.69,264078.16,12041.294,428.187,15221.925,48166.465,10516.844,4288.627,4498.254,1663.25,870.339,1228.342,23364.535,4338.182,1550.834,776.362,4935.046,250920.1,264390.7,12530.093,231.03,15166.508,47474.246,8344.446,3901.324,5835.307,1874.807,3768.728,1533.692,696.36,4507.29
