,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,228175.36,259188.3,14940.337,211.863,7863.116,58900.293,2995.156,1719.321,1264.127,306.182,0.919,0.0,3733.016,2221.912,175.835,0.55,927.333,206683.4,259919.53,5251.314,120.99,3008.19,40892.28,6.029,21.113,35.931,6.056,7.314,0.0,0.0,16.428
03.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,219881.28,246787.39,22345.914,1155.251,986.827,10173.936,7273.666,3526.933,2690.497,1069.219,2219.032,0.0,11945.442,4523.942,1324.098,624.867,3596.865,203791.72,231320.95,19679.893,928.117,289.733,2836.098,7094.379,3492.974,2974.396,964.847,3123.411,574.631,640.798,3155.324
05.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,205907.72,230397.33,26094.629,2338.484,2605.148,26732.082,6185.554,4088.859,4134.204,1564.778,1646.305,510.048,16030.695,2620.967,761.552,466.728,2950.268,196724.36,221029.8,21983.361,2512.848,4280.902,27706.527,5160.094,3097.029,5080.295,1249.567,3146.048,1427.361,453.898,3092.888
12.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,190984.86,228164.05,10560.895,364.248,12433.339,50897.965,6859.546,3102.772,3650.323,1105.985,654.708,1618.856,20962.691,3312.398,1356.955,548.373,3637.506,191898.47,227416.44,10409.221,547.553,12990.12,49660.477,5360.646,3576.967,5102.792,1358.849,3522.842,1611.09,676.465,3415.306
13.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,188343.94,216841.45,5663.708,202.33,13157.759,53238.152,5392.607,3307.305,3026.891,825.466,570.912,2331.939,19121.342,2920.355,1213.817,531.961,2620.663,178316.5,208825.92,5365.14,179.562,11478.741,47336.47,6376.318,3093.892,4637.239,1239.39,3123.94,1595.242,937.971,3404.416
17.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,264661.97,287072.28,31650.1,482.411,2004.847,19794.215,8290.982,3545.411,4491.296,1628.905,1567.529,10.561,10847.246,4601.298,1684.144,550.799,3674.46,264970.03,294286.25,26021.143,1424.648,476.038,10806.392,6871.222,4167.606,5384.995,1877.723,3488.7,1325.237,300.803,3048.553
18.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,212165.44,235139.11,21112.344,441.313,14589.515,55572.53,7382.69,3060.504,4952.126,2052.664,1063.959,1778.076,22743.123,3888.032,1814.704,690.262,3616.351,198725.39,227446.27,16560.006,629.03,12830.876,51862.566,6131.262,2845.382,5220.026,1180.916,4000.541,1819.428,669.299,3771.968
19.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,249271.56,284885.22,12281.151,385.58,15030.935,59799.367,10094.56,3738.9,3487.644,1053.065,1543.446,1497.207,23099.066,3933.176,1907.383,758.243,4030.27,247259.12,279352.34,11614.45,609.61,14558.743,54596.895,8493.385,3073.257,5088.454,1487.141,4074.606,2403.999,813.463,4972.009
21.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,245958.45,291226.2,6952.008,705.149,7824.128,42414.68,7573.708,2980.571,3975.068,1402.89,983.832,0.0,8875.176,4143.59,1523.16,744.358,3952.265,237793.98,286460.3,10991.119,408.7,3566.774,39665.246,7355.078,3626.371,4239.677,1068.598,3918.537,1712.602,763.338,3521.784
34.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,210141.03,244633.55,19363.154,822.34,11146.654,53846.594,9933.723,2955.705,3376.706,1401.033,1463.771,67.15,13038.881,3436.97,1373.063,279.586,3540.014,203557.3,247584.56,22079.586,1209.049,6641.911,51205.2,6755.641,3098.344,4016.222,1134.626,4167.88,2057.561,472.66,3832.903
39.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,240681.66,268619.75,16250.789,395.309,16429.785,56359.82,8479.147,3438.173,4049.991,1711.673,1125.178,2775.179,25025.318,3623.37,1761.561,719.623,4146.683,237344.28,262148.62,14497.379,375.508,15363.16,54185.613,8036.437,3564.424,4909.822,1137.507,3937.587,1922.571,699.71,4159.662
